benchmark,harness,outcome,action,event_count,event_total,event_pct,low_confidence_event_total
GPQA,ZeroClaw,success,Result Auditing,431,6073,7.10,1698
GPQA,ZeroClaw,success,Answer Delivery,159,6073,2.62,1698
HLE,DirectLLM,failure,Problem Framing,1758,250831,0.70,159229
HLE,DirectLLM,failure,Plan Formation,68162,250831,27.17,159229
HLE,DirectLLM,failure,Solution Execution,146365,250831,58.35,159229
HLE,DirectLLM,failure,Tool Grounding,0,250831,0.00,159229
HLE,DirectLLM,failure,Result Auditing,33937,250831,13.53,159229
HLE,DirectLLM,failure,Answer Delivery,609,250831,0.24,159229
HLE,DirectLLM,success,Problem Framing,605,55492,1.09,28956
HLE,DirectLLM,success,Plan Formation,8810,55492,15.88,28956
HLE,DirectLLM,success,Solution Execution,38383,55492,69.17,28956
HLE,DirectLLM,success,Tool Grounding,0,55492,0.00,28956
HLE,DirectLLM,success,Result Auditing,7540,55492,13.59,28956
HLE,DirectLLM,success,Answer Delivery,154,55492,0.28,28956
HLE,OpenClaw,failure,Problem Framing,2851,71031,4.01,23038
HLE,OpenClaw,failure,Plan Formation,4115,71031,5.79,23038
HLE,OpenClaw,failure,Solution Execution,45002,71031,63.36,23038
HLE,OpenClaw,failure,Tool Grounding,5377,71031,7.57,23038
HLE,OpenClaw,failure,Result Auditing,13003,71031,18.31,23038
HLE,OpenClaw,failure,Answer Delivery,683,71031,0.96,23038
HLE,OpenClaw,success,Problem Framing,185,4312,4.29,1836
HLE,OpenClaw,success,Plan Formation,286,4312,6.63,1836
HLE,OpenClaw,success,Solution Execution,3041,4312,70.52,1836
HLE,OpenClaw,success,Tool Grounding,247,4312,5.73,1836
HLE,OpenClaw,success,Result Auditing,461,4312,10.69,1836
HLE,OpenClaw,success,Answer Delivery,92,4312,2.13,1836
HLE,OpenClaw,unknown,Problem Framing,2,463,0.43,135
HLE,OpenClaw,unknown,Plan Formation,7,463,1.51,135
HLE,OpenClaw,unknown,Solution Execution,262,463,56.59,135
HLE,OpenClaw,unknown,Tool Grounding,64,463,13.82,135
HLE,OpenClaw,unknown,Result Auditing,127,463,27.43,135
HLE,OpenClaw,unknown,Answer Delivery,1,463,0.22,135
HLE,OpenCode,failure,Problem Framing,2740,83122,3.30,23521
HLE,OpenCode,failure,Plan Formation,4031,83122,4.85,23521
HLE,OpenCode,failure,Solution Execution,59319,83122,71.36,23521
HLE,OpenCode,failure,Tool Grounding,1759,83122,2.12,23521
HLE,OpenCode,failure,Result Auditing,14527,83122,17.48,23521
HLE,OpenCode,failure,Answer Delivery,746,83122,0.90,23521
HLE,OpenCode,success,Problem Framing,251,5339,4.70,2194
HLE,OpenCode,success,Plan Formation,401,5339,7.51,2194
HLE,OpenCode,success,Solution Execution,3840,5339,71.92,2194
HLE,OpenCode,success,Tool Grounding,122,5339,2.29,2194
HLE,OpenCode,success,Result Auditing,549,5339,10.28,2194
HLE,OpenCode,success,Answer Delivery,176,5339,3.30,2194
HLE,OpenCode,unknown,Problem Framing,2,92,2.17,41
HLE,OpenCode,unknown,Plan Formation,0,92,0.00,41
HLE,OpenCode,unknown,Solution Execution,55,92,59.78,41
HLE,OpenCode,unknown,Tool Grounding,4,92,4.35,41
HLE,OpenCode,unknown,Result Auditing,31,92,33.70,41
HLE,OpenCode,unknown,Answer Delivery,0,92,0.00,41
HLE,ZeroClaw,failure,Problem Framing,996,21304,4.68,8335
HLE,ZeroClaw,failure,Plan Formation,1846,21304,8.67,8335
HLE,ZeroClaw,failure,Solution Execution,14616,21304,68.61,8335
HLE,ZeroClaw,failure,Tool Grounding,0,21304,0.00,8335
HLE,ZeroClaw,failure,Result Auditing,3409,21304,16.00,8335
HLE,ZeroClaw,failure,Answer Delivery,437,21304,2.05,8335
HLE,ZeroClaw,success,Problem Framing,178,4944,3.60,1889
HLE,ZeroClaw,success,Plan Formation,346,4944,7.00,1889
HLE,ZeroClaw,success,Solution Execution,3538,4944,71.56,1889
HLE,ZeroClaw,success,Tool Grounding,0,4944,0.00,1889
HLE,ZeroClaw,success,Result Auditing,747,4944,15.11,1889
HLE,ZeroClaw,success,Answer Delivery,135,4944,2.73,1889
