benchmark,harness,outcome,action,trajectory_count,trajectories_with_action,trajectory_rate_pct,mean_events_per_trajectory
AIMEPass4,OpenCode,failure,Result Auditing,35,32,91.43,72.086
AIMEPass4,OpenCode,failure,Answer Delivery,35,24,68.57,2.171
AIMEPass4,OpenCode,success,Problem Framing,80,44,55.00,2.638
AIMEPass4,OpenCode,success,Plan Formation,80,80,100.00,5.850
AIMEPass4,OpenCode,success,Solution Execution,80,80,100.00,157.613
AIMEPass4,OpenCode,success,Tool Grounding,80,54,67.50,1.837
AIMEPass4,OpenCode,success,Result Auditing,80,71,88.75,27.312
AIMEPass4,OpenCode,success,Answer Delivery,80,79,98.75,2.450
AIMEPass4,OpenCode,unknown,Problem Framing,5,5,100.00,41.800
AIMEPass4,OpenCode,unknown,Plan Formation,5,5,100.00,14.000
AIMEPass4,OpenCode,unknown,Solution Execution,5,5,100.00,882.400
AIMEPass4,OpenCode,unknown,Tool Grounding,5,0,0.00,0.000
AIMEPass4,OpenCode,unknown,Result Auditing,5,5,100.00,249.200
AIMEPass4,OpenCode,unknown,Answer Delivery,5,0,0.00,0.000
AIMEPass4,ZeroClaw,failure,Problem Framing,37,11,29.73,0.811
AIMEPass4,ZeroClaw,failure,Plan Formation,37,13,35.14,3.351
AIMEPass4,ZeroClaw,failure,Solution Execution,37,37,100.00,80.703
AIMEPass4,ZeroClaw,failure,Tool Grounding,37,0,0.00,0.000
AIMEPass4,ZeroClaw,failure,Result Auditing,37,14,37.84,12.270
AIMEPass4,ZeroClaw,failure,Answer Delivery,37,7,18.92,0.216
AIMEPass4,ZeroClaw,success,Problem Framing,83,50,60.24,1.313
AIMEPass4,ZeroClaw,success,Plan Formation,83,83,100.00,4.422
AIMEPass4,ZeroClaw,success,Solution Execution,83,83,100.00,77.590
AIMEPass4,ZeroClaw,success,Tool Grounding,83,0,0.00,0.000
AIMEPass4,ZeroClaw,success,Result Auditing,83,77,92.77,9.084
AIMEPass4,ZeroClaw,success,Answer Delivery,83,82,98.80,1.084
GPQA,DirectLLM,failure,Problem Framing,39,33,84.62,5.436
GPQA,DirectLLM,failure,Plan Formation,39,38,97.44,173.795
GPQA,DirectLLM,failure,Solution Execution,39,39,100.00,599.436
GPQA,DirectLLM,failure,Tool Grounding,39,0,0.00,0.000
GPQA,DirectLLM,failure,Result Auditing,39,39,100.00,77.846
GPQA,DirectLLM,failure,Answer Delivery,39,26,66.67,0.769
GPQA,DirectLLM,success,Problem Framing,159,119,74.84,2.642
GPQA,DirectLLM,success,Plan Formation,159,156,98.11,31.302
GPQA,DirectLLM,success,Solution Execution,159,159,100.00,154.635
GPQA,DirectLLM,success,Tool Grounding,159,0,0.00,0.000
GPQA,DirectLLM,success,Result Auditing,159,158,99.37,18.346
GPQA,DirectLLM,success,Answer Delivery,159,159,100.00,1.164
GPQA,OpenClaw,failure,Problem Framing,67,33,49.25,27.940
GPQA,OpenClaw,failure,Plan Formation,67,56,83.58,8.731
GPQA,OpenClaw,failure,Solution Execution,67,62,92.54,211.313
GPQA,OpenClaw,failure,Tool Grounding,67,13,19.40,0.582
GPQA,OpenClaw,failure,Result Auditing,67,48,71.64,58.045
GPQA,OpenClaw,failure,Answer Delivery,67,19,28.36,0.478
GPQA,OpenClaw,success,Problem Framing,131,38,29.01,0.511
GPQA,OpenClaw,success,Plan Formation,131,114,87.02,3.008
GPQA,OpenClaw,success,Solution Execution,131,130,99.24,18.321
GPQA,OpenClaw,success,Tool Grounding,131,73,55.73,1.702
GPQA,OpenClaw,success,Result Auditing,131,70,53.44,1.687
GPQA,OpenClaw,success,Answer Delivery,131,131,100.00,1.076
GPQA,OpenCode,failure,Problem Framing,50,31,62.00,2.980
GPQA,OpenCode,failure,Plan Formation,50,43,86.00,4.460
GPQA,OpenCode,failure,Solution Execution,50,48,96.00,47.660
GPQA,OpenCode,failure,Tool Grounding,50,8,16.00,0.340
GPQA,OpenCode,failure,Result Auditing,50,41,82.00,11.820
GPQA,OpenCode,failure,Answer Delivery,50,24,48.00,1.000
GPQA,OpenCode,success,Problem Framing,145,66,45.52,1.276
GPQA,OpenCode,success,Plan Formation,145,131,90.34,3.966
GPQA,OpenCode,success,Solution Execution,145,145,100.00,37.966
GPQA,OpenCode,success,Tool Grounding,145,80,55.17,0.952
GPQA,OpenCode,success,Result Auditing,145,89,61.38,2.745
GPQA,OpenCode,success,Answer Delivery,145,145,100.00,2.055
GPQA,OpenCode,unknown,Problem Framing,1,0,0.00,0.000
GPQA,OpenCode,unknown,Plan Formation,1,1,100.00,2.000
GPQA,OpenCode,unknown,Solution Execution,1,1,100.00,229.000
GPQA,OpenCode,unknown,Tool Grounding,1,0,0.00,0.000
GPQA,OpenCode,unknown,Result Auditing,1,1,100.00,42.000
GPQA,OpenCode,unknown,Answer Delivery,1,0,0.00,0.000
GPQA,ZeroClaw,failure,Problem Framing,37,22,59.46,1.243
GPQA,ZeroClaw,failure,Plan Formation,37,35,94.59,3.622
GPQA,ZeroClaw,failure,Solution Execution,37,37,100.00,28.649
GPQA,ZeroClaw,failure,Tool Grounding,37,0,0.00,0.000
GPQA,ZeroClaw,failure,Result Auditing,37,31,83.78,4.541
GPQA,ZeroClaw,failure,Answer Delivery,37,30,81.08,0.865
GPQA,ZeroClaw,success,Problem Framing,154,76,49.35,0.890
GPQA,ZeroClaw,success,Plan Formation,154,147,95.45,3.162
GPQA,ZeroClaw,success,Solution Execution,154,154,100.00,31.552
GPQA,ZeroClaw,success,Tool Grounding,154,0,0.00,0.000
GPQA,ZeroClaw,success,Result Auditing,154,111,72.08,2.799
GPQA,ZeroClaw,success,Answer Delivery,154,154,100.00,1.032
HLE,DirectLLM,failure,Problem Framing,455,396,87.03,3.864
HLE,DirectLLM,failure,Plan Formation,455,444,97.58,149.807
HLE,DirectLLM,failure,Solution Execution,455,455,100.00,321.681
HLE,DirectLLM,failure,Tool Grounding,455,0,0.00,0.000
HLE,DirectLLM,failure,Result Auditing,455,454,99.78,74.587
HLE,DirectLLM,failure,Answer Delivery,455,429,94.29,1.338
HLE,DirectLLM,success,Problem Framing,136,117,86.03,4.449
HLE,DirectLLM,success,Plan Formation,136,132,97.06,64.779
HLE,DirectLLM,success,Solution Execution,136,136,100.00,282.228
HLE,DirectLLM,success,Tool Grounding,136,0,0.00,0.000
HLE,DirectLLM,success,Result Auditing,136,135,99.26,55.441
HLE,DirectLLM,success,Answer Delivery,136,135,99.26,1.132
HLE,OpenClaw,failure,Problem Framing,509,278,54.62,5.601
HLE,OpenClaw,failure,Plan Formation,509,390,76.62,8.084
HLE,OpenClaw,failure,Solution Execution,509,438,86.05,88.413
HLE,OpenClaw,failure,Tool Grounding,509,165,32.42,10.564
HLE,OpenClaw,failure,Result Auditing,509,338,66.40,25.546
HLE,OpenClaw,failure,Answer Delivery,509,291,57.17,1.342
HLE,OpenClaw,success,Problem Framing,79,57,72.15,2.342
HLE,OpenClaw,success,Plan Formation,79,72,91.14,3.620
HLE,OpenClaw,success,Solution Execution,79,79,100.00,38.494
HLE,OpenClaw,success,Tool Grounding,79,29,36.71,3.127
HLE,OpenClaw,success,Result Auditing,79,61,77.22,5.835
HLE,OpenClaw,success,Answer Delivery,79,79,100.00,1.165
HLE,OpenClaw,unknown,Problem Framing,3,2,66.67,0.667
HLE,OpenClaw,unknown,Plan Formation,3,2,66.67,2.333
HLE,OpenClaw,unknown,Solution Execution,3,2,66.67,87.333
HLE,OpenClaw,unknown,Tool Grounding,3,2,66.67,21.333
HLE,OpenClaw,unknown,Result Auditing,3,2,66.67,42.333
HLE,OpenClaw,unknown,Answer Delivery,3,1,33.33,0.333
HLE,OpenCode,failure,Problem Framing,508,355,69.88,5.394
HLE,OpenCode,failure,Plan Formation,508,457,89.96,7.935
HLE,OpenCode,failure,Solution Execution,508,508,100.00,116.770
HLE,OpenCode,failure,Tool Grounding,508,124,24.41,3.463
HLE,OpenCode,failure,Result Auditing,508,386,75.98,28.596
HLE,OpenCode,failure,Answer Delivery,508,359,70.67,1.469
HLE,OpenCode,success,Problem Framing,82,64,78.05,3.061
HLE,OpenCode,success,Plan Formation,82,73,89.02,4.890
HLE,OpenCode,success,Solution Execution,82,82,100.00,46.829
HLE,OpenCode,success,Tool Grounding,82,19,23.17,1.488
HLE,OpenCode,success,Result Auditing,82,62,75.61,6.695
HLE,OpenCode,success,Answer Delivery,82,82,100.00,2.146
HLE,OpenCode,unknown,Problem Framing,1,1,100.00,2.000
HLE,OpenCode,unknown,Plan Formation,1,0,0.00,0.000
HLE,OpenCode,unknown,Solution Execution,1,1,100.00,55.000
HLE,OpenCode,unknown,Tool Grounding,1,1,100.00,4.000
HLE,OpenCode,unknown,Result Auditing,1,1,100.00,31.000
HLE,OpenCode,unknown,Answer Delivery,1,0,0.00,0.000
HLE,ZeroClaw,failure,Problem Framing,503,347,68.99,1.980
HLE,ZeroClaw,failure,Plan Formation,503,417,82.90,3.670
HLE,ZeroClaw,failure,Solution Execution,503,498,99.01,29.058
HLE,ZeroClaw,failure,Tool Grounding,503,0,0.00,0.000
HLE,ZeroClaw,failure,Result Auditing,503,410,81.51,6.777
HLE,ZeroClaw,failure,Answer Delivery,503,366,72.76,0.869
HLE,ZeroClaw,success,Problem Framing,88,72,81.82,2.023
HLE,ZeroClaw,success,Plan Formation,88,78,88.64,3.932
HLE,ZeroClaw,success,Solution Execution,88,88,100.00,40.205
HLE,ZeroClaw,success,Tool Grounding,88,0,0.00,0.000
HLE,ZeroClaw,success,Result Auditing,88,80,90.91,8.489
HLE,ZeroClaw,success,Answer Delivery,88,87,98.86,1.534
