benchmark,harness,outcome,from_tool_type,to_tool_type,transition_count,transition_total,transition_fraction
MMMUPro,OpenCode,success,__START__,write,1,787,0.00127065
MMMUPro,OpenCode,success,bash,__END__,12,787,0.01524778
MMMUPro,OpenCode,success,bash,bash,14,787,0.01778907
MMMUPro,OpenCode,success,bash,python,10,787,0.01270648
MMMUPro,OpenCode,success,bash,search,1,787,0.00127065
MMMUPro,OpenCode,success,bash,web_fetch,6,787,0.00762389
MMMUPro,OpenCode,success,python,__END__,177,787,0.22490470
MMMUPro,OpenCode,success,python,python,93,787,0.11817027
MMMUPro,OpenCode,success,python,web_fetch,1,787,0.00127065
MMMUPro,OpenCode,success,search,__END__,3,787,0.00381194
MMMUPro,OpenCode,success,search,search,1,787,0.00127065
MMMUPro,OpenCode,success,search,web_fetch,1,787,0.00127065
MMMUPro,OpenCode,success,task,__END__,1,787,0.00127065
MMMUPro,OpenCode,success,web_fetch,__END__,27,787,0.03430750
MMMUPro,OpenCode,success,web_fetch,python,2,787,0.00254130
MMMUPro,OpenCode,success,web_fetch,web_fetch,217,787,0.27573062
MMMUPro,OpenCode,success,write,python,1,787,0.00127065
