task_id,subdomain,high_level_domain,match_method
gpqa_48,High-energy particle physics,Physics,exact_prefix
gpqa_49,High-energy particle physics,Physics,exact_prefix
gpqa_5,Astrophysics,Physics,exact_prefix
gpqa_50,High-energy particle physics,Physics,exact_prefix
gpqa_51,High-energy particle physics,Physics,exact_prefix
gpqa_52,High-energy particle physics,Physics,exact_prefix
gpqa_53,High-energy particle physics,Physics,exact_prefix
gpqa_54,High-energy particle physics,Physics,exact_prefix
gpqa_55,High-energy particle physics,Physics,exact_prefix
gpqa_56,High-energy particle physics,Physics,exact_prefix
gpqa_57,High-energy particle physics,Physics,exact_prefix
gpqa_58,Inorganic Chemistry,Chemistry,exact_prefix
gpqa_59,Molecular Biology,Biology,exact_prefix
gpqa_6,Astrophysics,Physics,exact_prefix
gpqa_60,Molecular Biology,Biology,exact_prefix
gpqa_61,Molecular Biology,Biology,exact_prefix
gpqa_62,Molecular Biology,Biology,exact_prefix
gpqa_63,Molecular Biology,Biology,exact_prefix
gpqa_64,Molecular Biology,Biology,exact_prefix
gpqa_65,Molecular Biology,Biology,exact_prefix
gpqa_66,Molecular Biology,Biology,exact_prefix
gpqa_67,Molecular Biology,Biology,exact_prefix
gpqa_68,Molecular Biology,Biology,exact_prefix
gpqa_69,Molecular Biology,Biology,exact_prefix
gpqa_7,Astrophysics,Physics,exact_prefix
gpqa_70,Molecular Biology,Biology,exact_prefix
gpqa_71,Molecular Biology,Biology,exact_prefix
gpqa_72,Molecular Biology,Biology,exact_prefix
gpqa_73,Molecular Biology,Biology,exact_prefix
gpqa_74,Optics and Acoustics,Physics,exact_prefix
gpqa_75,Organic Chemistry,Chemistry,exact_prefix
gpqa_76,Organic Chemistry,Chemistry,exact_prefix
gpqa_77,Organic Chemistry,Chemistry,exact_prefix
gpqa_78,Organic Chemistry,Chemistry,exact_prefix
gpqa_79,Organic Chemistry,Chemistry,exact_prefix
gpqa_8,Astrophysics,Physics,exact_prefix
gpqa_80,Organic Chemistry,Chemistry,exact_prefix
gpqa_81,Organic Chemistry,Chemistry,exact_prefix
gpqa_82,Organic Chemistry,Chemistry,exact_prefix
gpqa_83,Organic Chemistry,Chemistry,exact_prefix
gpqa_84,Organic Chemistry,Chemistry,exact_prefix
gpqa_85,Organic Chemistry,Chemistry,exact_prefix
gpqa_86,Organic Chemistry,Chemistry,exact_prefix
gpqa_87,Organic Chemistry,Chemistry,exact_prefix
gpqa_88,Organic Chemistry,Chemistry,exact_prefix
gpqa_89,Organic Chemistry,Chemistry,exact_prefix
gpqa_9,Astrophysics,Physics,exact_prefix
gpqa_90,Organic Chemistry,Chemistry,exact_prefix
gpqa_91,Organic Chemistry,Chemistry,exact_prefix
gpqa_92,Organic Chemistry,Chemistry,exact_prefix
gpqa_93,Organic Chemistry,Chemistry,exact_prefix
gpqa_94,Organic Chemistry,Chemistry,exact_prefix
gpqa_95,Organic Chemistry,Chemistry,exact_prefix
gpqa_96,Organic Chemistry,Chemistry,exact_prefix
gpqa_97,Organic Chemistry,Chemistry,exact_prefix
gpqa_98,Organic Chemistry,Chemistry,exact_prefix
gpqa_99,Organic Chemistry,Chemistry,exact_prefix
