task_id,correct,n_tokens,mean_entropy,wall_time_min
gpqa_147,1,4244,0.14808753188645388,55.85165682633718
gpqa_58,1,8415,0.2431465099245639,81.08753471771875
gpqa_119,1,4291,0.29603039092461225,50.78994977871577
gpqa_54,1,1208,0.16486723277483922,1.5967736959457397
gpqa_146,1,4008,0.23640419937602142,49.638486647605895
gpqa_106,0,64777,0.019070147431416395,60.02277479569117
gpqa_48,1,916,0.37489168666218703,2.803063956896464
gpqa_21,1,1932,0.1869822926273388,3.704383663336436
gpqa_8,1,1426,0.2296389191739134,15.681193697452546
gpqa_5,1,3013,0.4281143776447704,11.731944890817006
gpqa_36,1,1205,0.19862484793739515,4.3236360311508175
gpqa_144,1,3634,0.282814263493689,48.99143448670705
gpqa_101,0,36997,0.026426774856147892,60.052268373966214
gpqa_89,0,2105,0.28555145328958764,1.6241618434588114
gpqa_94,0,65536,0.010707468854967267,56.016600942611696
gpqa_11,1,796,0.21506146907827645,9.23596758445104
gpqa_87,0,1256,0.348121709328153,0.9451075633366902
gpqa_35,1,955,0.2216196987580817,9.564154414335887
gpqa_148,1,3396,0.20383873084746673,52.21028893391291
gpqa_52,1,985,0.35054746234701684,1.766783062616984
gpqa_135,0,85143,0.031396646112539964,100.70669205188752
gpqa_155,1,1739,0.23936644755204284,10.364985700448354
gpqa_100,0,36994,0.026583323127489736,60.05198341210683
gpqa_88,1,13718,0.2134767858369051,57.852043426036836
gpqa_154,1,1553,0.21881136829054357,12.949698885281881
gpqa_23,1,1360,0.259749757404111,8.258003048102061
gpqa_105,1,1469,0.33549181547581197,2.151894470055898
gpqa_34,1,1137,0.22185628545615316,4.302834896246592
gpqa_80,1,1290,0.2315628900865849,1.0693107922871907
gpqa_86,0,2103,0.4912522621534428,2.0805163621902465
gpqa_164,1,1415,0.10877287628429647,9.912140949567158
gpqa_158,1,2334,0.25665721170759925,10.064493453502655
gpqa_6,1,2368,0.21843769930279547,8.186638649304708
gpqa_37,1,1190,0.23591765074305976,10.341208748022716
gpqa_40,1,1985,0.4018412470408212,12.148749264081319
gpqa_156,1,1237,0.21937659426371908,9.456731315453847
gpqa_18,0,27044,0.03721428352270997,60.011338675022124
gpqa_138,1,5489,0.27628244634709853,52.841010332107544
gpqa_27,1,1353,0.32870892078862224,16.3049680630366
gpqa_92,1,1662,0.21225581052445786,1.4907731493314107
gpqa_114,1,1497,0.19514877078242543,18.403350762526195
gpqa_196,0,44512,0.03797717157259884,121.46504308780034
gpqa_3,1,1203,0.2569250042933508,5.917375767230988
gpqa_84,1,1539,0.2689058029848064,1.1705812493960062
gpqa_126,1,1981,0.2885125391697404,5.080681312084198
gpqa_7,1,1282,0.28132581331022966,14.845640687147776
gpqa_136,0,59643,0.058546237258201475,100.58314902385077
gpqa_153,1,2633,0.35747789497971955,48.23334749937057
gpqa_42,0,1323,0.42144219299886615,3.9879277110099793
gpqa_161,1,1551,0.2794556137110305,10.696918177604676
gpqa_2,0,30053,0.02950367118265829,60.018894914786024
gpqa_25,1,1044,0.155375318684138,18.518902802467345
gpqa_79,0,1484,0.34237570782302335,1.2878778298695883
gpqa_90,0,6984,0.09465579955752271,9.536231025060017
gpqa_77,1,5085,0.272887888730146,4.536545451482137
gpqa_181,1,1865,0.13666204104820473,105.21164457798004
gpqa_113,0,1959,0.3502490288728195,19.589233668645225
gpqa_71,1,1954,0.31699608007138497,12.601324963569642
gpqa_140,0,79827,0.02840936774881989,100.62055052518845
gpqa_104,1,2766,0.4262714785931303,3.774961777528127
gpqa_82,1,2335,0.35769223996834365,1.6356287082036336
gpqa_0,1,1051,0.3139365549458475,8.830293985207875
gpqa_16,1,1260,0.35237752378565107,15.484465936819712
gpqa_15,1,1343,0.37532706009790906,21.02950704495112
gpqa_53,1,1234,0.14351058738534356,2.313815967241923
gpqa_131,0,84104,0.03593573610129342,100.63691940704982
gpqa_19,1,1330,0.13187373484276074,14.5260795434316
gpqa_117,1,3412,0.312496458382379,50.10024360815684
gpqa_103,0,3870,0.2694338188423879,5.177683671315511
gpqa_68,1,961,0.336647300258996,4.768884996573131
gpqa_134,0,52330,0.024560486071507848,100.62632056474686
gpqa_157,1,1012,0.27395586219132256,10.780857741832733
gpqa_102,0,36997,0.014908247318511163,60.05257113377253
gpqa_162,0,38972,0.028389973993731093,60.03342785835266
gpqa_30,1,2801,0.2828276007109793,26.579315225283306
gpqa_75,1,1279,0.22539280615904372,2.7582355697949725
gpqa_45,1,896,0.21176092810345112,6.006654826800029
gpqa_70,0,1166,0.42867770399410227,3.3177016377449036
gpqa_143,0,53483,0.04299943807823541,100.6057295759519
gpqa_81,0,65536,0.013534677036904207,54.35532101392746
gpqa_60,1,4004,0.49732934295006637,84.59253244797388
gpqa_141,1,4573,0.3213225498577078,55.46791838407516
gpqa_29,1,942,0.3800583120298214,3.61871368487676
gpqa_46,1,3054,0.3168090985321694,18.919743506113686
gpqa_20,1,2331,0.33099718910225423,11.490145345528921
gpqa_125,0,66646,0.09290804208296574,100.68781782786051
gpqa_43,0,3907,0.29965018131067434,13.728775111834208
gpqa_32,1,1463,0.2508239634604101,9.59884166320165
