benchmark,harness,outcome,from_action,to_action,transition_count,transition_total,transition_fraction
AIMEPass4,DirectLLM,success,Solution Execution,Problem Framing,5,1512,0.00330688
AIMEPass4,DirectLLM,success,Solution Execution,Result Auditing,8,1512,0.00529101
AIMEPass4,DirectLLM,success,Solution Execution,Solution Execution,1060,1512,0.70105820
AIMEPass4,DirectLLM,success,__START__,Plan Formation,1,1512,0.00066138
AIMEPass4,DirectLLM,success,__START__,Problem Framing,1,1512,0.00066138
AIMEPass4,DirectLLM,success,__START__,Solution Execution,109,1512,0.07208995
AIMEPass4,OpenClaw,failure,Answer Delivery,__END__,2,34,0.05882353
AIMEPass4,OpenClaw,failure,Plan Formation,Solution Execution,2,34,0.05882353
AIMEPass4,OpenClaw,failure,Plan Formation,__END__,1,34,0.02941176
AIMEPass4,OpenClaw,failure,Solution Execution,Answer Delivery,2,34,0.05882353
AIMEPass4,OpenClaw,failure,Solution Execution,Plan Formation,1,34,0.02941176
AIMEPass4,OpenClaw,failure,Solution Execution,Solution Execution,4,34,0.11764706
AIMEPass4,OpenClaw,failure,Tool Grounding,Plan Formation,2,34,0.05882353
AIMEPass4,OpenClaw,failure,Tool Grounding,Solution Execution,1,34,0.02941176
AIMEPass4,OpenClaw,failure,Tool Grounding,Tool Grounding,16,34,0.47058824
AIMEPass4,OpenClaw,failure,__START__,Tool Grounding,3,34,0.08823529
AIMEPass4,OpenClaw,success,Answer Delivery,__END__,114,1498,0.07610147
AIMEPass4,OpenClaw,success,Plan Formation,Plan Formation,7,1498,0.00467290
AIMEPass4,OpenClaw,success,Plan Formation,Solution Execution,45,1498,0.03004005
AIMEPass4,OpenClaw,success,Problem Framing,Solution Execution,5,1498,0.00333778
AIMEPass4,OpenClaw,success,Result Auditing,Solution Execution,3,1498,0.00200267
AIMEPass4,OpenClaw,success,Solution Execution,Answer Delivery,114,1498,0.07610147
AIMEPass4,OpenClaw,success,Solution Execution,Plan Formation,35,1498,0.02336449
AIMEPass4,OpenClaw,success,Solution Execution,Problem Framing,5,1498,0.00333778
AIMEPass4,OpenClaw,success,Solution Execution,Result Auditing,3,1498,0.00200267
AIMEPass4,OpenClaw,success,Solution Execution,Solution Execution,919,1498,0.61348465
AIMEPass4,OpenClaw,success,Tool Grounding,Plan Formation,5,1498,0.00333778
AIMEPass4,OpenClaw,success,Tool Grounding,Solution Execution,34,1498,0.02269693
AIMEPass4,OpenClaw,success,Tool Grounding,Tool Grounding,95,1498,0.06341789
AIMEPass4,OpenClaw,success,__START__,Plan Formation,5,1498,0.00333778
AIMEPass4,OpenClaw,success,__START__,Solution Execution,70,1498,0.04672897
AIMEPass4,OpenClaw,success,__START__,Tool Grounding,39,1498,0.02603471
AIMEPass4,OpenClaw,unknown,Answer Delivery,__END__,1,37,0.02702703
AIMEPass4,OpenClaw,unknown,Solution Execution,Answer Delivery,1,37,0.02702703
AIMEPass4,OpenClaw,unknown,Solution Execution,Solution Execution,3,37,0.08108108
AIMEPass4,OpenClaw,unknown,Tool Grounding,Solution Execution,1,37,0.02702703
AIMEPass4,OpenClaw,unknown,Tool Grounding,Tool Grounding,26,37,0.70270270
AIMEPass4,OpenClaw,unknown,Tool Grounding,__END__,2,37,0.05405405
AIMEPass4,OpenClaw,unknown,__START__,Tool Grounding,3,37,0.08108108
AIMEPass4,OpenCode,failure,Answer Delivery,Solution Execution,1,36,0.02777778
AIMEPass4,OpenCode,failure,Answer Delivery,__END__,1,36,0.02777778
AIMEPass4,OpenCode,failure,Plan Formation,Plan Formation,3,36,0.08333333
AIMEPass4,OpenCode,failure,Plan Formation,Solution Execution,2,36,0.05555556
AIMEPass4,OpenCode,failure,Plan Formation,__END__,2,36,0.05555556
AIMEPass4,OpenCode,failure,Solution Execution,Answer Delivery,2,36,0.05555556
AIMEPass4,OpenCode,failure,Solution Execution,Plan Formation,2,36,0.05555556
AIMEPass4,OpenCode,failure,Solution Execution,Solution Execution,6,36,0.16666667
AIMEPass4,OpenCode,failure,Tool Grounding,Plan Formation,1,36,0.02777778
AIMEPass4,OpenCode,failure,Tool Grounding,Solution Execution,1,36,0.02777778
AIMEPass4,OpenCode,failure,Tool Grounding,Tool Grounding,12,36,0.33333333
AIMEPass4,OpenCode,failure,__START__,Plan Formation,1,36,0.02777778
AIMEPass4,OpenCode,failure,__START__,Tool Grounding,2,36,0.05555556
AIMEPass4,OpenCode,success,Answer Delivery,Answer Delivery,1,2271,0.00044033
AIMEPass4,OpenCode,success,Answer Delivery,Plan Formation,6,2271,0.00264201
AIMEPass4,OpenCode,success,Answer Delivery,Problem Framing,1,2271,0.00044033
AIMEPass4,OpenCode,success,Answer Delivery,Result Auditing,1,2271,0.00044033
AIMEPass4,OpenCode,success,Answer Delivery,Solution Execution,107,2271,0.04711581
AIMEPass4,OpenCode,success,Answer Delivery,__END__,116,2271,0.05107882
AIMEPass4,OpenCode,success,Plan Formation,Plan Formation,26,2271,0.01144870
AIMEPass4,OpenCode,success,Plan Formation,Solution Execution,116,2271,0.05107882
AIMEPass4,OpenCode,success,Problem Framing,Plan Formation,4,2271,0.00176134
AIMEPass4,OpenCode,success,Problem Framing,Solution Execution,10,2271,0.00440335
AIMEPass4,OpenCode,success,Result Auditing,Answer Delivery,6,2271,0.00264201
AIMEPass4,OpenCode,success,Result Auditing,Solution Execution,6,2271,0.00264201
AIMEPass4,OpenCode,success,Solution Execution,Answer Delivery,224,2271,0.09863496
AIMEPass4,OpenCode,success,Solution Execution,Plan Formation,100,2271,0.04403347
AIMEPass4,OpenCode,success,Solution Execution,Problem Framing,12,2271,0.00528402
AIMEPass4,OpenCode,success,Solution Execution,Result Auditing,10,2271,0.00440335
AIMEPass4,OpenCode,success,Solution Execution,Solution Execution,1276,2271,0.56186702
AIMEPass4,OpenCode,success,Tool Grounding,Answer Delivery,1,2271,0.00044033
AIMEPass4,OpenCode,success,Tool Grounding,Plan Formation,3,2271,0.00132100
AIMEPass4,OpenCode,success,Tool Grounding,Problem Framing,1,2271,0.00044033
AIMEPass4,OpenCode,success,Tool Grounding,Result Auditing,1,2271,0.00044033
AIMEPass4,OpenCode,success,Tool Grounding,Solution Execution,46,2271,0.02025539
AIMEPass4,OpenCode,success,Tool Grounding,Tool Grounding,81,2271,0.03566711
AIMEPass4,OpenCode,success,__START__,Plan Formation,3,2271,0.00132100
AIMEPass4,OpenCode,success,__START__,Solution Execution,61,2271,0.02686041
AIMEPass4,OpenCode,success,__START__,Tool Grounding,52,2271,0.02289740
AIMEPass4,OpenCode,unknown,Answer Delivery,Plan Formation,2,835,0.00239521
AIMEPass4,OpenCode,unknown,Answer Delivery,Problem Framing,1,835,0.00119760
AIMEPass4,OpenCode,unknown,Plan Formation,Answer Delivery,2,835,0.00239521
AIMEPass4,OpenCode,unknown,Plan Formation,Plan Formation,9,835,0.01077844
AIMEPass4,OpenCode,unknown,Plan Formation,Problem Framing,1,835,0.00119760
AIMEPass4,OpenCode,unknown,Plan Formation,Result Auditing,2,835,0.00239521
AIMEPass4,OpenCode,unknown,Plan Formation,Solution Execution,34,835,0.04071856
AIMEPass4,OpenCode,unknown,Problem Framing,Plan Formation,2,835,0.00239521
AIMEPass4,OpenCode,unknown,Problem Framing,Solution Execution,5,835,0.00598802
AIMEPass4,OpenCode,unknown,Result Auditing,Plan Formation,3,835,0.00359281
AIMEPass4,OpenCode,unknown,Result Auditing,Result Auditing,4,835,0.00479042
AIMEPass4,OpenCode,unknown,Result Auditing,Solution Execution,61,835,0.07305389
AIMEPass4,OpenCode,unknown,Solution Execution,Answer Delivery,1,835,0.00119760
AIMEPass4,OpenCode,unknown,Solution Execution,Plan Formation,32,835,0.03832335
AIMEPass4,OpenCode,unknown,Solution Execution,Problem Framing,5,835,0.00598802
AIMEPass4,OpenCode,unknown,Solution Execution,Result Auditing,61,835,0.07305389
AIMEPass4,OpenCode,unknown,Solution Execution,Solution Execution,529,835,0.63353293
AIMEPass4,OpenCode,unknown,Solution Execution,Tool Grounding,1,835,0.00119760
AIMEPass4,OpenCode,unknown,Solution Execution,__END__,1,835,0.00119760
AIMEPass4,OpenCode,unknown,Tool Grounding,Result Auditing,1,835,0.00119760
AIMEPass4,OpenCode,unknown,Tool Grounding,Solution Execution,1,835,0.00119760
AIMEPass4,OpenCode,unknown,Tool Grounding,Tool Grounding,76,835,0.09101796
AIMEPass4,OpenCode,unknown,__START__,Tool Grounding,1,835,0.00119760
AIMEPass4,ZeroClaw,failure,Answer Delivery,__END__,3,380,0.00789474
AIMEPass4,ZeroClaw,failure,Plan Formation,Plan Formation,8,380,0.02105263
AIMEPass4,ZeroClaw,failure,Plan Formation,Result Auditing,4,380,0.01052632
AIMEPass4,ZeroClaw,failure,Plan Formation,Solution Execution,19,380,0.05000000
AIMEPass4,ZeroClaw,failure,Result Auditing,Plan Formation,3,380,0.00789474
AIMEPass4,ZeroClaw,failure,Result Auditing,Result Auditing,7,380,0.01842105
AIMEPass4,ZeroClaw,failure,Result Auditing,Solution Execution,18,380,0.04736842
AIMEPass4,ZeroClaw,failure,Solution Execution,Answer Delivery,3,380,0.00789474
AIMEPass4,ZeroClaw,failure,Solution Execution,Plan Formation,20,380,0.05263158
AIMEPass4,ZeroClaw,failure,Solution Execution,Result Auditing,17,380,0.04473684
AIMEPass4,ZeroClaw,failure,Solution Execution,Solution Execution,273,380,0.71842105
AIMEPass4,ZeroClaw,failure,Solution Execution,__END__,1,380,0.00263158
AIMEPass4,ZeroClaw,failure,__START__,Solution Execution,4,380,0.01052632
AIMEPass4,ZeroClaw,success,Answer Delivery,__END__,116,1586,0.07313997
AIMEPass4,ZeroClaw,success,Plan Formation,Plan Formation,17,1586,0.01071879
AIMEPass4,ZeroClaw,success,Plan Formation,Solution Execution,86,1586,0.05422446
AIMEPass4,ZeroClaw,success,Problem Framing,Solution Execution,4,1586,0.00252207
AIMEPass4,ZeroClaw,success,Result Auditing,Answer Delivery,1,1586,0.00063052
AIMEPass4,ZeroClaw,success,Result Auditing,Plan Formation,2,1586,0.00126103
AIMEPass4,ZeroClaw,success,Result Auditing,Result Auditing,3,1586,0.00189155
AIMEPass4,ZeroClaw,success,Result Auditing,Solution Execution,10,1586,0.00630517
AIMEPass4,ZeroClaw,success,Solution Execution,Answer Delivery,115,1586,0.07250946
AIMEPass4,ZeroClaw,success,Solution Execution,Plan Formation,80,1586,0.05044136
AIMEPass4,ZeroClaw,success,Solution Execution,Problem Framing,4,1586,0.00252207
AIMEPass4,ZeroClaw,success,Solution Execution,Result Auditing,8,1586,0.00504414
AIMEPass4,ZeroClaw,success,Solution Execution,Solution Execution,1024,1586,0.64564943
AIMEPass4,ZeroClaw,success,__START__,Plan Formation,4,1586,0.00252207
AIMEPass4,ZeroClaw,success,__START__,Result Auditing,5,1586,0.00315259
AIMEPass4,ZeroClaw,success,__START__,Solution Execution,107,1586,0.06746532
GPQA,DirectLLM,failure,Answer Delivery,__END__,28,278,0.10071942
GPQA,DirectLLM,failure,Plan Formation,Answer Delivery,5,278,0.01798561
GPQA,DirectLLM,failure,Plan Formation,Plan Formation,2,278,0.00719424
GPQA,DirectLLM,failure,Plan Formation,Solution Execution,15,278,0.05395683
GPQA,DirectLLM,failure,Problem Framing,Answer Delivery,3,278,0.01079137
GPQA,DirectLLM,failure,Problem Framing,Plan Formation,5,278,0.01798561
GPQA,DirectLLM,failure,Problem Framing,Solution Execution,10,278,0.03597122
GPQA,DirectLLM,failure,Result Auditing,Problem Framing,1,278,0.00359712
GPQA,DirectLLM,failure,Result Auditing,Result Auditing,4,278,0.01438849
GPQA,DirectLLM,failure,Result Auditing,Solution Execution,2,278,0.00719424
GPQA,DirectLLM,failure,Solution Execution,Answer Delivery,20,278,0.07194245
GPQA,DirectLLM,failure,Solution Execution,Plan Formation,12,278,0.04316547
GPQA,DirectLLM,failure,Solution Execution,Problem Framing,9,278,0.03237410
GPQA,DirectLLM,failure,Solution Execution,Result Auditing,3,278,0.01079137
GPQA,DirectLLM,failure,Solution Execution,Solution Execution,131,278,0.47122302
GPQA,DirectLLM,failure,__START__,Plan Formation,3,278,0.01079137
GPQA,DirectLLM,failure,__START__,Problem Framing,8,278,0.02877698
GPQA,DirectLLM,failure,__START__,Solution Execution,17,278,0.06115108
GPQA,DirectLLM,success,Answer Delivery,__END__,165,1572,0.10496183
GPQA,DirectLLM,success,Plan Formation,Answer Delivery,20,1572,0.01272265
GPQA,DirectLLM,success,Plan Formation,Plan Formation,3,1572,0.00190840
GPQA,DirectLLM,success,Plan Formation,Solution Execution,39,1572,0.02480916
GPQA,DirectLLM,success,Problem Framing,Answer Delivery,4,1572,0.00254453
GPQA,DirectLLM,success,Problem Framing,Plan Formation,8,1572,0.00508906
GPQA,DirectLLM,success,Problem Framing,Solution Execution,52,1572,0.03307888
GPQA,DirectLLM,success,Result Auditing,Answer Delivery,4,1572,0.00254453
GPQA,DirectLLM,success,Result Auditing,Problem Framing,1,1572,0.00063613
GPQA,DirectLLM,success,Result Auditing,Result Auditing,1,1572,0.00063613
GPQA,DirectLLM,success,Result Auditing,Solution Execution,4,1572,0.00254453
GPQA,DirectLLM,success,Solution Execution,Answer Delivery,137,1572,0.08715013
GPQA,DirectLLM,success,Solution Execution,Plan Formation,38,1572,0.02417303
GPQA,DirectLLM,success,Solution Execution,Problem Framing,43,1572,0.02735369
GPQA,DirectLLM,success,Solution Execution,Result Auditing,8,1572,0.00508906
GPQA,DirectLLM,success,Solution Execution,Solution Execution,880,1572,0.55979644
GPQA,DirectLLM,success,__START__,Plan Formation,13,1572,0.00826972
GPQA,DirectLLM,success,__START__,Problem Framing,20,1572,0.01272265
GPQA,DirectLLM,success,__START__,Result Auditing,1,1572,0.00063613
GPQA,DirectLLM,success,__START__,Solution Execution,131,1572,0.08333333
GPQA,OpenClaw,failure,Answer Delivery,__END__,27,342,0.07894737
GPQA,OpenClaw,failure,Plan Formation,Answer Delivery,2,342,0.00584795
GPQA,OpenClaw,failure,Plan Formation,Plan Formation,2,342,0.00584795
GPQA,OpenClaw,failure,Plan Formation,Problem Framing,1,342,0.00292398
GPQA,OpenClaw,failure,Plan Formation,Solution Execution,8,342,0.02339181
GPQA,OpenClaw,failure,Problem Framing,Answer Delivery,2,342,0.00584795
GPQA,OpenClaw,failure,Problem Framing,Plan Formation,1,342,0.00292398
GPQA,OpenClaw,failure,Problem Framing,Result Auditing,1,342,0.00292398
GPQA,OpenClaw,failure,Problem Framing,Solution Execution,5,342,0.01461988
GPQA,OpenClaw,failure,Result Auditing,Answer Delivery,3,342,0.00877193
GPQA,OpenClaw,failure,Result Auditing,Result Auditing,4,342,0.01169591
GPQA,OpenClaw,failure,Result Auditing,Solution Execution,4,342,0.01169591
GPQA,OpenClaw,failure,Solution Execution,Answer Delivery,20,342,0.05847953
GPQA,OpenClaw,failure,Solution Execution,Plan Formation,7,342,0.02046784
GPQA,OpenClaw,failure,Solution Execution,Problem Framing,5,342,0.01461988
GPQA,OpenClaw,failure,Solution Execution,Result Auditing,6,342,0.01754386
GPQA,OpenClaw,failure,Solution Execution,Solution Execution,127,342,0.37134503
GPQA,OpenClaw,failure,Tool Grounding,Plan Formation,1,342,0.00292398
GPQA,OpenClaw,failure,Tool Grounding,Problem Framing,2,342,0.00584795
GPQA,OpenClaw,failure,Tool Grounding,Solution Execution,14,342,0.04093567
GPQA,OpenClaw,failure,Tool Grounding,Tool Grounding,73,342,0.21345029
GPQA,OpenClaw,failure,__START__,Plan Formation,2,342,0.00584795
GPQA,OpenClaw,failure,__START__,Problem Framing,1,342,0.00292398
GPQA,OpenClaw,failure,__START__,Solution Execution,7,342,0.02046784
GPQA,OpenClaw,failure,__START__,Tool Grounding,17,342,0.04970760
GPQA,OpenClaw,success,Answer Delivery,__END__,169,1652,0.10230024
GPQA,OpenClaw,success,Plan Formation,Answer Delivery,28,1652,0.01694915
GPQA,OpenClaw,success,Plan Formation,Plan Formation,2,1652,0.00121065
GPQA,OpenClaw,success,Plan Formation,Problem Framing,1,1652,0.00060533
GPQA,OpenClaw,success,Plan Formation,Result Auditing,1,1652,0.00060533
GPQA,OpenClaw,success,Plan Formation,Solution Execution,38,1652,0.02300242
GPQA,OpenClaw,success,Problem Framing,Answer Delivery,5,1652,0.00302663
GPQA,OpenClaw,success,Problem Framing,Plan Formation,13,1652,0.00786925
GPQA,OpenClaw,success,Problem Framing,Solution Execution,48,1652,0.02905569
GPQA,OpenClaw,success,Result Auditing,Answer Delivery,3,1652,0.00181598
GPQA,OpenClaw,success,Result Auditing,Result Auditing,1,1652,0.00060533
GPQA,OpenClaw,success,Result Auditing,Solution Execution,11,1652,0.00665860
GPQA,OpenClaw,success,Solution Execution,Answer Delivery,127,1652,0.07687651
GPQA,OpenClaw,success,Solution Execution,Plan Formation,39,1652,0.02360775
GPQA,OpenClaw,success,Solution Execution,Problem Framing,52,1652,0.03147700
GPQA,OpenClaw,success,Solution Execution,Result Auditing,13,1652,0.00786925
GPQA,OpenClaw,success,Solution Execution,Solution Execution,801,1652,0.48486683
GPQA,OpenClaw,success,Tool Grounding,Answer Delivery,6,1652,0.00363196
GPQA,OpenClaw,success,Tool Grounding,Plan Formation,4,1652,0.00242131
GPQA,OpenClaw,success,Tool Grounding,Problem Framing,8,1652,0.00484262
GPQA,OpenClaw,success,Tool Grounding,Solution Execution,63,1652,0.03813559
GPQA,OpenClaw,success,Tool Grounding,Tool Grounding,50,1652,0.03026634
GPQA,OpenClaw,success,__START__,Plan Formation,12,1652,0.00726392
GPQA,OpenClaw,success,__START__,Problem Framing,5,1652,0.00302663
GPQA,OpenClaw,success,__START__,Solution Execution,71,1652,0.04297821
GPQA,OpenClaw,success,__START__,Tool Grounding,81,1652,0.04903148
GPQA,OpenClaw,unknown,Answer Delivery,Tool Grounding,1,23,0.04347826
GPQA,OpenClaw,unknown,Answer Delivery,__END__,1,23,0.04347826
GPQA,OpenClaw,unknown,Solution Execution,Answer Delivery,2,23,0.08695652
GPQA,OpenClaw,unknown,Solution Execution,Solution Execution,8,23,0.34782609
GPQA,OpenClaw,unknown,Tool Grounding,Solution Execution,2,23,0.08695652
GPQA,OpenClaw,unknown,Tool Grounding,Tool Grounding,6,23,0.26086957
GPQA,OpenClaw,unknown,Tool Grounding,__END__,1,23,0.04347826
GPQA,OpenClaw,unknown,__START__,Tool Grounding,2,23,0.08695652
GPQA,OpenCode,failure,Answer Delivery,Answer Delivery,1,525,0.00190476
GPQA,OpenCode,failure,Answer Delivery,Plan Formation,2,525,0.00380952
GPQA,OpenCode,failure,Answer Delivery,Problem Framing,1,525,0.00190476
GPQA,OpenCode,failure,Answer Delivery,Solution Execution,17,525,0.03238095
GPQA,OpenCode,failure,Answer Delivery,__END__,21,525,0.04000000
GPQA,OpenCode,failure,Plan Formation,Plan Formation,2,525,0.00380952
GPQA,OpenCode,failure,Plan Formation,Problem Framing,1,525,0.00190476
GPQA,OpenCode,failure,Plan Formation,Result Auditing,1,525,0.00190476
GPQA,OpenCode,failure,Plan Formation,Solution Execution,11,525,0.02095238
GPQA,OpenCode,failure,Plan Formation,__END__,1,525,0.00190476
GPQA,OpenCode,failure,Problem Framing,Problem Framing,1,525,0.00190476
GPQA,OpenCode,failure,Problem Framing,Result Auditing,1,525,0.00190476
GPQA,OpenCode,failure,Problem Framing,Solution Execution,13,525,0.02476190
GPQA,OpenCode,failure,Result Auditing,Plan Formation,1,525,0.00190476
GPQA,OpenCode,failure,Result Auditing,Result Auditing,4,525,0.00761905
GPQA,OpenCode,failure,Result Auditing,Solution Execution,31,525,0.05904762
GPQA,OpenCode,failure,Solution Execution,Answer Delivery,40,525,0.07619048
GPQA,OpenCode,failure,Solution Execution,Plan Formation,8,525,0.01523810
GPQA,OpenCode,failure,Solution Execution,Problem Framing,11,525,0.02095238
GPQA,OpenCode,failure,Solution Execution,Result Auditing,30,525,0.05714286
GPQA,OpenCode,failure,Solution Execution,Solution Execution,252,525,0.48000000
GPQA,OpenCode,failure,Solution Execution,__END__,2,525,0.00380952
GPQA,OpenCode,failure,Tool Grounding,Answer Delivery,1,525,0.00190476
GPQA,OpenCode,failure,Tool Grounding,Plan Formation,2,525,0.00380952
GPQA,OpenCode,failure,Tool Grounding,Problem Framing,1,525,0.00190476
GPQA,OpenCode,failure,Tool Grounding,Solution Execution,13,525,0.02476190
GPQA,OpenCode,failure,Tool Grounding,Tool Grounding,32,525,0.06095238
GPQA,OpenCode,failure,__START__,Plan Formation,1,525,0.00190476
GPQA,OpenCode,failure,__START__,Solution Execution,6,525,0.01142857
GPQA,OpenCode,failure,__START__,Tool Grounding,17,525,0.03238095
GPQA,OpenCode,success,Answer Delivery,Answer Delivery,28,2313,0.01210549
GPQA,OpenCode,success,Answer Delivery,Plan Formation,7,2313,0.00302637
GPQA,OpenCode,success,Answer Delivery,Problem Framing,10,2313,0.00432339
GPQA,OpenCode,success,Answer Delivery,Result Auditing,1,2313,0.00043234
GPQA,OpenCode,success,Answer Delivery,Solution Execution,128,2313,0.05533939
GPQA,OpenCode,success,Answer Delivery,__END__,174,2313,0.07522698
GPQA,OpenCode,success,Plan Formation,Answer Delivery,22,2313,0.00951146
GPQA,OpenCode,success,Plan Formation,Plan Formation,26,2313,0.01124081
GPQA,OpenCode,success,Plan Formation,Solution Execution,56,2313,0.02421098
GPQA,OpenCode,success,Problem Framing,Answer Delivery,8,2313,0.00345871
GPQA,OpenCode,success,Problem Framing,Plan Formation,8,2313,0.00345871
GPQA,OpenCode,success,Problem Framing,Solution Execution,40,2313,0.01729356
GPQA,OpenCode,success,Result Auditing,Answer Delivery,10,2313,0.00432339
GPQA,OpenCode,success,Result Auditing,Result Auditing,2,2313,0.00086468
GPQA,OpenCode,success,Result Auditing,Solution Execution,22,2313,0.00951146
GPQA,OpenCode,success,Solution Execution,Answer Delivery,252,2313,0.10894942
GPQA,OpenCode,success,Solution Execution,Plan Formation,56,2313,0.02421098
GPQA,OpenCode,success,Solution Execution,Problem Framing,36,2313,0.01556420
GPQA,OpenCode,success,Solution Execution,Result Auditing,30,2313,0.01297017
GPQA,OpenCode,success,Solution Execution,Solution Execution,1080,2313,0.46692607
GPQA,OpenCode,success,Tool Grounding,Answer Delivery,28,2313,0.01210549
GPQA,OpenCode,success,Tool Grounding,Plan Formation,3,2313,0.00129702
GPQA,OpenCode,success,Tool Grounding,Problem Framing,2,2313,0.00086468
GPQA,OpenCode,success,Tool Grounding,Solution Execution,61,2313,0.02637268
GPQA,OpenCode,success,Tool Grounding,Tool Grounding,49,2313,0.02118461
GPQA,OpenCode,success,__START__,Plan Formation,4,2313,0.00172936
GPQA,OpenCode,success,__START__,Problem Framing,8,2313,0.00345871
GPQA,OpenCode,success,__START__,Result Auditing,1,2313,0.00043234
GPQA,OpenCode,success,__START__,Solution Execution,67,2313,0.02896671
GPQA,OpenCode,success,__START__,Tool Grounding,94,2313,0.04063986
GPQA,ZeroClaw,failure,Answer Delivery,__END__,23,373,0.06166220
GPQA,ZeroClaw,failure,Plan Formation,Plan Formation,4,373,0.01072386
GPQA,ZeroClaw,failure,Plan Formation,Solution Execution,13,373,0.03485255
GPQA,ZeroClaw,failure,Problem Framing,Answer Delivery,1,373,0.00268097
GPQA,ZeroClaw,failure,Problem Framing,Problem Framing,1,373,0.00268097
GPQA,ZeroClaw,failure,Problem Framing,Result Auditing,1,373,0.00268097
GPQA,ZeroClaw,failure,Problem Framing,Solution Execution,6,373,0.01608579
GPQA,ZeroClaw,failure,Result Auditing,Plan Formation,3,373,0.00804290
GPQA,ZeroClaw,failure,Result Auditing,Problem Framing,2,373,0.00536193
GPQA,ZeroClaw,failure,Result Auditing,Result Auditing,48,373,0.12868633
GPQA,ZeroClaw,failure,Result Auditing,Solution Execution,38,373,0.10187668
GPQA,ZeroClaw,failure,Solution Execution,Answer Delivery,22,373,0.05898123
GPQA,ZeroClaw,failure,Solution Execution,Plan Formation,9,373,0.02412869
GPQA,ZeroClaw,failure,Solution Execution,Problem Framing,6,373,0.01608579
GPQA,ZeroClaw,failure,Solution Execution,Result Auditing,21,373,0.05630027
GPQA,ZeroClaw,failure,Solution Execution,Solution Execution,144,373,0.38605898
GPQA,ZeroClaw,failure,Solution Execution,__END__,4,373,0.01072386
GPQA,ZeroClaw,failure,__START__,Plan Formation,1,373,0.00268097
GPQA,ZeroClaw,failure,__START__,Result Auditing,21,373,0.05630027
GPQA,ZeroClaw,failure,__START__,Solution Execution,5,373,0.01340483
GPQA,ZeroClaw,success,Answer Delivery,__END__,171,1877,0.09110282
GPQA,ZeroClaw,success,Plan Formation,Answer Delivery,18,1877,0.00958977
GPQA,ZeroClaw,success,Plan Formation,Plan Formation,9,1877,0.00479489
GPQA,ZeroClaw,success,Plan Formation,Result Auditing,2,1877,0.00106553
GPQA,ZeroClaw,success,Plan Formation,Solution Execution,62,1877,0.03303143
GPQA,ZeroClaw,success,Problem Framing,Answer Delivery,9,1877,0.00479489
GPQA,ZeroClaw,success,Problem Framing,Plan Formation,14,1877,0.00745871
GPQA,ZeroClaw,success,Problem Framing,Result Auditing,1,1877,0.00053277
GPQA,ZeroClaw,success,Problem Framing,Solution Execution,36,1877,0.01917954
GPQA,ZeroClaw,success,Result Auditing,Answer Delivery,4,1877,0.00213106
GPQA,ZeroClaw,success,Result Auditing,Plan Formation,7,1877,0.00372936
GPQA,ZeroClaw,success,Result Auditing,Problem Framing,5,1877,0.00266383
GPQA,ZeroClaw,success,Result Auditing,Result Auditing,59,1877,0.03143314
GPQA,ZeroClaw,success,Result Auditing,Solution Execution,38,1877,0.02024507
GPQA,ZeroClaw,success,Solution Execution,Answer Delivery,140,1877,0.07458711
GPQA,ZeroClaw,success,Solution Execution,Plan Formation,46,1877,0.02450719
GPQA,ZeroClaw,success,Solution Execution,Problem Framing,50,1877,0.02663825
