benchmark,harness,outcome,from_action,to_action,transition_count,transition_total,transition_fraction
AIMEPass4,OpenClaw,failure,Plan Formation,Problem Framing,1,13446,0.00007437
AIMEPass4,OpenClaw,failure,Plan Formation,Result Auditing,10,13446,0.00074372
AIMEPass4,OpenClaw,failure,Plan Formation,Solution Execution,1200,13446,0.08924587
AIMEPass4,OpenClaw,failure,Problem Framing,Plan Formation,797,13446,0.05927413
AIMEPass4,OpenClaw,failure,Problem Framing,Result Auditing,1,13446,0.00007437
AIMEPass4,OpenClaw,failure,Problem Framing,Solution Execution,88,13446,0.00654470
AIMEPass4,OpenClaw,failure,Result Auditing,Plan Formation,8,13446,0.00059497
AIMEPass4,OpenClaw,failure,Result Auditing,Problem Framing,4,13446,0.00029749
AIMEPass4,OpenClaw,failure,Result Auditing,Result Auditing,45,13446,0.00334672
AIMEPass4,OpenClaw,failure,Result Auditing,Solution Execution,225,13446,0.01673360
AIMEPass4,OpenClaw,failure,Solution Execution,Answer Delivery,8,13446,0.00059497
AIMEPass4,OpenClaw,failure,Solution Execution,Plan Formation,398,13446,0.02959988
AIMEPass4,OpenClaw,failure,Solution Execution,Problem Framing,878,13446,0.06529823
AIMEPass4,OpenClaw,failure,Solution Execution,Result Auditing,226,13446,0.01680797
AIMEPass4,OpenClaw,failure,Solution Execution,Solution Execution,9486,13446,0.70548862
AIMEPass4,OpenClaw,failure,Solution Execution,__END__,7,13446,0.00052060
AIMEPass4,OpenClaw,failure,Tool Grounding,Solution Execution,2,13446,0.00014874
AIMEPass4,OpenClaw,failure,Tool Grounding,Tool Grounding,12,13446,0.00089246
AIMEPass4,OpenClaw,failure,__START__,Plan Formation,8,13446,0.00059497
AIMEPass4,OpenClaw,failure,__START__,Problem Framing,3,13446,0.00022311
AIMEPass4,OpenClaw,failure,__START__,Solution Execution,2,13446,0.00014874
AIMEPass4,OpenClaw,failure,__START__,Tool Grounding,2,13446,0.00014874
AIMEPass4,OpenClaw,success,Answer Delivery,Answer Delivery,3,4510,0.00066519
AIMEPass4,OpenClaw,success,Answer Delivery,Plan Formation,2,4510,0.00044346
AIMEPass4,OpenClaw,success,Answer Delivery,Problem Framing,2,4510,0.00044346
AIMEPass4,OpenClaw,success,Answer Delivery,Result Auditing,4,4510,0.00088692
AIMEPass4,OpenClaw,success,Answer Delivery,Solution Execution,3,4510,0.00066519
AIMEPass4,OpenClaw,success,Answer Delivery,Tool Grounding,6,4510,0.00133038
AIMEPass4,OpenClaw,success,Answer Delivery,__END__,77,4510,0.01707317
AIMEPass4,OpenClaw,success,Plan Formation,Answer Delivery,4,4510,0.00088692
AIMEPass4,OpenClaw,success,Plan Formation,Plan Formation,24,4510,0.00532151
AIMEPass4,OpenClaw,success,Plan Formation,Problem Framing,1,4510,0.00022173
AIMEPass4,OpenClaw,success,Plan Formation,Result Auditing,23,4510,0.00509978
AIMEPass4,OpenClaw,success,Plan Formation,Solution Execution,189,4510,0.04190687
AIMEPass4,OpenClaw,success,Problem Framing,Plan Formation,7,4510,0.00155211
AIMEPass4,OpenClaw,success,Problem Framing,Problem Framing,2,4510,0.00044346
AIMEPass4,OpenClaw,success,Problem Framing,Result Auditing,2,4510,0.00044346
AIMEPass4,OpenClaw,success,Problem Framing,Solution Execution,31,4510,0.00687361
AIMEPass4,OpenClaw,success,Result Auditing,Answer Delivery,2,4510,0.00044346
AIMEPass4,OpenClaw,success,Result Auditing,Plan Formation,18,4510,0.00399113
AIMEPass4,OpenClaw,success,Result Auditing,Problem Framing,6,4510,0.00133038
AIMEPass4,OpenClaw,success,Result Auditing,Result Auditing,50,4510,0.01108647
AIMEPass4,OpenClaw,success,Result Auditing,Solution Execution,285,4510,0.06319290
AIMEPass4,OpenClaw,success,Solution Execution,Answer Delivery,81,4510,0.01796009
AIMEPass4,OpenClaw,success,Solution Execution,Plan Formation,159,4510,0.03525499
AIMEPass4,OpenClaw,success,Solution Execution,Problem Framing,31,4510,0.00687361
AIMEPass4,OpenClaw,success,Solution Execution,Result Auditing,275,4510,0.06097561
AIMEPass4,OpenClaw,success,Solution Execution,Solution Execution,2924,4510,0.64833703
AIMEPass4,OpenClaw,success,Tool Grounding,Answer Delivery,4,4510,0.00088692
AIMEPass4,OpenClaw,success,Tool Grounding,Plan Formation,11,4510,0.00243902
AIMEPass4,OpenClaw,success,Tool Grounding,Result Auditing,7,4510,0.00155211
AIMEPass4,OpenClaw,success,Tool Grounding,Solution Execution,36,4510,0.00798226
AIMEPass4,OpenClaw,success,Tool Grounding,Tool Grounding,164,4510,0.03636364
AIMEPass4,OpenClaw,success,__START__,Answer Delivery,3,4510,0.00066519
AIMEPass4,OpenClaw,success,__START__,Plan Formation,20,4510,0.00443459
AIMEPass4,OpenClaw,success,__START__,Solution Execution,2,4510,0.00044346
AIMEPass4,OpenClaw,success,__START__,Tool Grounding,52,4510,0.01152993
AIMEPass4,OpenCode,failure,Answer Delivery,Answer Delivery,2,16380,0.00012210
AIMEPass4,OpenCode,failure,Answer Delivery,Plan Formation,25,16380,0.00152625
AIMEPass4,OpenCode,failure,Answer Delivery,Problem Framing,8,16380,0.00048840
AIMEPass4,OpenCode,failure,Answer Delivery,Result Auditing,6,16380,0.00036630
AIMEPass4,OpenCode,failure,Answer Delivery,Solution Execution,11,16380,0.00067155
AIMEPass4,OpenCode,failure,Answer Delivery,__END__,24,16380,0.00146520
AIMEPass4,OpenCode,failure,Plan Formation,Answer Delivery,4,16380,0.00024420
AIMEPass4,OpenCode,failure,Plan Formation,Plan Formation,96,16380,0.00586081
AIMEPass4,OpenCode,failure,Plan Formation,Problem Framing,12,16380,0.00073260
AIMEPass4,OpenCode,failure,Plan Formation,Result Auditing,152,16380,0.00927961
AIMEPass4,OpenCode,failure,Plan Formation,Solution Execution,372,16380,0.02271062
AIMEPass4,OpenCode,failure,Problem Framing,Plan Formation,11,16380,0.00067155
AIMEPass4,OpenCode,failure,Problem Framing,Problem Framing,130,16380,0.00793651
AIMEPass4,OpenCode,failure,Problem Framing,Result Auditing,61,16380,0.00372405
AIMEPass4,OpenCode,failure,Problem Framing,Solution Execution,219,16380,0.01336996
AIMEPass4,OpenCode,failure,Problem Framing,__END__,2,16380,0.00012210
AIMEPass4,OpenCode,failure,Result Auditing,Answer Delivery,4,16380,0.00024420
AIMEPass4,OpenCode,failure,Result Auditing,Plan Formation,46,16380,0.00280830
AIMEPass4,OpenCode,failure,Result Auditing,Problem Framing,54,16380,0.00329670
AIMEPass4,OpenCode,failure,Result Auditing,Result Auditing,674,16380,0.04114774
AIMEPass4,OpenCode,failure,Result Auditing,Solution Execution,1740,16380,0.10622711
AIMEPass4,OpenCode,failure,Result Auditing,Tool Grounding,3,16380,0.00018315
AIMEPass4,OpenCode,failure,Result Auditing,__END__,2,16380,0.00012210
AIMEPass4,OpenCode,failure,Solution Execution,Answer Delivery,66,16380,0.00402930
AIMEPass4,OpenCode,failure,Solution Execution,Plan Formation,431,16380,0.02631258
AIMEPass4,OpenCode,failure,Solution Execution,Problem Framing,217,16380,0.01324786
AIMEPass4,OpenCode,failure,Solution Execution,Result Auditing,1629,16380,0.09945055
AIMEPass4,OpenCode,failure,Solution Execution,Solution Execution,10322,16380,0.63015873
AIMEPass4,OpenCode,failure,Solution Execution,Tool Grounding,4,16380,0.00024420
AIMEPass4,OpenCode,failure,Solution Execution,__END__,7,16380,0.00042735
AIMEPass4,OpenCode,failure,Tool Grounding,Problem Framing,1,16380,0.00006105
AIMEPass4,OpenCode,failure,Tool Grounding,Result Auditing,1,16380,0.00006105
AIMEPass4,OpenCode,failure,Tool Grounding,Solution Execution,5,16380,0.00030525
AIMEPass4,OpenCode,failure,Tool Grounding,Tool Grounding,4,16380,0.00024420
AIMEPass4,OpenCode,failure,__START__,Plan Formation,27,16380,0.00164835
AIMEPass4,OpenCode,failure,__START__,Problem Framing,1,16380,0.00006105
AIMEPass4,OpenCode,failure,__START__,Solution Execution,7,16380,0.00042735
AIMEPass4,OpenCode,success,Answer Delivery,Answer Delivery,8,15896,0.00050327
AIMEPass4,OpenCode,success,Answer Delivery,Plan Formation,71,15896,0.00446653
AIMEPass4,OpenCode,success,Answer Delivery,Problem Framing,6,15896,0.00037745
AIMEPass4,OpenCode,success,Answer Delivery,Result Auditing,12,15896,0.00075491
AIMEPass4,OpenCode,success,Answer Delivery,Solution Execution,20,15896,0.00125818
AIMEPass4,OpenCode,success,Answer Delivery,__END__,79,15896,0.00496980
AIMEPass4,OpenCode,success,Plan Formation,Answer Delivery,15,15896,0.00094363
AIMEPass4,OpenCode,success,Plan Formation,Plan Formation,16,15896,0.00100654
AIMEPass4,OpenCode,success,Plan Formation,Problem Framing,22,15896,0.00138400
AIMEPass4,OpenCode,success,Plan Formation,Result Auditing,41,15896,0.00257927
AIMEPass4,OpenCode,success,Plan Formation,Solution Execution,364,15896,0.02289884
AIMEPass4,OpenCode,success,Plan Formation,Tool Grounding,10,15896,0.00062909
AIMEPass4,OpenCode,success,Problem Framing,Plan Formation,4,15896,0.00025164
AIMEPass4,OpenCode,success,Problem Framing,Problem Framing,2,15896,0.00012582
AIMEPass4,OpenCode,success,Problem Framing,Result Auditing,33,15896,0.00207599
AIMEPass4,OpenCode,success,Problem Framing,Solution Execution,167,15896,0.01050579
AIMEPass4,OpenCode,success,Problem Framing,Tool Grounding,5,15896,0.00031454
AIMEPass4,OpenCode,success,Result Auditing,Answer Delivery,15,15896,0.00094363
AIMEPass4,OpenCode,success,Result Auditing,Plan Formation,42,15896,0.00264217
AIMEPass4,OpenCode,success,Result Auditing,Problem Framing,30,15896,0.00188727
AIMEPass4,OpenCode,success,Result Auditing,Result Auditing,654,15896,0.04114243
AIMEPass4,OpenCode,success,Result Auditing,Solution Execution,1391,15896,0.08750629
AIMEPass4,OpenCode,success,Result Auditing,Tool Grounding,52,15896,0.00327126
AIMEPass4,OpenCode,success,Result Auditing,__END__,1,15896,0.00006291
AIMEPass4,OpenCode,success,Solution Execution,Answer Delivery,157,15896,0.00987670
AIMEPass4,OpenCode,success,Solution Execution,Plan Formation,258,15896,0.01623050
AIMEPass4,OpenCode,success,Solution Execution,Problem Framing,143,15896,0.00899597
AIMEPass4,OpenCode,success,Solution Execution,Result Auditing,1405,15896,0.08838702
AIMEPass4,OpenCode,success,Solution Execution,Solution Execution,10573,15896,0.66513588
AIMEPass4,OpenCode,success,Solution Execution,Tool Grounding,73,15896,0.00459235
AIMEPass4,OpenCode,success,Tool Grounding,Answer Delivery,1,15896,0.00006291
AIMEPass4,OpenCode,success,Tool Grounding,Plan Formation,10,15896,0.00062909
AIMEPass4,OpenCode,success,Tool Grounding,Problem Framing,3,15896,0.00018873
AIMEPass4,OpenCode,success,Tool Grounding,Result Auditing,40,15896,0.00251636
AIMEPass4,OpenCode,success,Tool Grounding,Solution Execution,88,15896,0.00553598
AIMEPass4,OpenCode,success,Tool Grounding,Tool Grounding,5,15896,0.00031454
AIMEPass4,OpenCode,success,__START__,Plan Formation,67,15896,0.00421490
AIMEPass4,OpenCode,success,__START__,Problem Framing,5,15896,0.00031454
AIMEPass4,OpenCode,success,__START__,Solution Execution,6,15896,0.00037745
AIMEPass4,OpenCode,success,__START__,Tool Grounding,2,15896,0.00012582
AIMEPass4,OpenCode,unknown,Plan Formation,Result Auditing,2,5942,0.00033659
AIMEPass4,OpenCode,unknown,Plan Formation,Solution Execution,68,5942,0.01144396
AIMEPass4,OpenCode,unknown,Problem Framing,Problem Framing,1,5942,0.00016829
AIMEPass4,OpenCode,unknown,Problem Framing,Result Auditing,5,5942,0.00084147
AIMEPass4,OpenCode,unknown,Problem Framing,Solution Execution,202,5942,0.03399529
AIMEPass4,OpenCode,unknown,Problem Framing,__END__,1,5942,0.00016829
AIMEPass4,OpenCode,unknown,Result Auditing,Plan Formation,64,5942,0.01077078
AIMEPass4,OpenCode,unknown,Result Auditing,Problem Framing,8,5942,0.00134635
AIMEPass4,OpenCode,unknown,Result Auditing,Result Auditing,271,5942,0.04560754
AIMEPass4,OpenCode,unknown,Result Auditing,Solution Execution,903,5942,0.15196903
AIMEPass4,OpenCode,unknown,Solution Execution,Plan Formation,6,5942,0.00100976
AIMEPass4,OpenCode,unknown,Solution Execution,Problem Framing,200,5942,0.03365870
AIMEPass4,OpenCode,unknown,Solution Execution,Result Auditing,963,5942,0.16206664
AIMEPass4,OpenCode,unknown,Solution Execution,Solution Execution,3239,5942,0.54510266
AIMEPass4,OpenCode,unknown,Solution Execution,__END__,4,5942,0.00067317
AIMEPass4,OpenCode,unknown,__START__,Result Auditing,5,5942,0.00084147
AIMEPass4,ZeroClaw,failure,Answer Delivery,Solution Execution,2,3639,0.00054960
AIMEPass4,ZeroClaw,failure,Answer Delivery,__END__,6,3639,0.00164880
AIMEPass4,ZeroClaw,failure,Plan Formation,Answer Delivery,1,3639,0.00027480
AIMEPass4,ZeroClaw,failure,Plan Formation,Plan Formation,12,3639,0.00329761
AIMEPass4,ZeroClaw,failure,Plan Formation,Problem Framing,2,3639,0.00054960
AIMEPass4,ZeroClaw,failure,Plan Formation,Result Auditing,14,3639,0.00384721
AIMEPass4,ZeroClaw,failure,Plan Formation,Solution Execution,94,3639,0.02583127
AIMEPass4,ZeroClaw,failure,Plan Formation,__END__,1,3639,0.00027480
AIMEPass4,ZeroClaw,failure,Problem Framing,Answer Delivery,1,3639,0.00027480
AIMEPass4,ZeroClaw,failure,Problem Framing,Plan Formation,2,3639,0.00054960
AIMEPass4,ZeroClaw,failure,Problem Framing,Result Auditing,9,3639,0.00247321
AIMEPass4,ZeroClaw,failure,Problem Framing,Solution Execution,18,3639,0.00494641
AIMEPass4,ZeroClaw,failure,Result Auditing,Problem Framing,4,3639,0.00109920
AIMEPass4,ZeroClaw,failure,Result Auditing,Result Auditing,29,3639,0.00796922
AIMEPass4,ZeroClaw,failure,Result Auditing,Solution Execution,417,3639,0.11459192
AIMEPass4,ZeroClaw,failure,Result Auditing,__END__,4,3639,0.00109920
AIMEPass4,ZeroClaw,failure,Solution Execution,Answer Delivery,6,3639,0.00164880
AIMEPass4,ZeroClaw,failure,Solution Execution,Plan Formation,100,3639,0.02748008
AIMEPass4,ZeroClaw,failure,Solution Execution,Problem Framing,24,3639,0.00659522
AIMEPass4,ZeroClaw,failure,Solution Execution,Result Auditing,402,3639,0.11046991
AIMEPass4,ZeroClaw,failure,Solution Execution,Solution Execution,2428,3639,0.66721627
AIMEPass4,ZeroClaw,failure,Solution Execution,__END__,26,3639,0.00714482
AIMEPass4,ZeroClaw,failure,__START__,Plan Formation,10,3639,0.00274801
AIMEPass4,ZeroClaw,failure,__START__,Solution Execution,27,3639,0.00741962
AIMEPass4,ZeroClaw,success,Answer Delivery,Answer Delivery,6,7843,0.00076501
AIMEPass4,ZeroClaw,success,Answer Delivery,Plan Formation,1,7843,0.00012750
AIMEPass4,ZeroClaw,success,Answer Delivery,Result Auditing,1,7843,0.00012750
AIMEPass4,ZeroClaw,success,Answer Delivery,__END__,82,7843,0.01045518
AIMEPass4,ZeroClaw,success,Plan Formation,Answer Delivery,10,7843,0.00127502
AIMEPass4,ZeroClaw,success,Plan Formation,Plan Formation,32,7843,0.00408007
AIMEPass4,ZeroClaw,success,Plan Formation,Problem Framing,10,7843,0.00127502
AIMEPass4,ZeroClaw,success,Plan Formation,Result Auditing,38,7843,0.00484508
AIMEPass4,ZeroClaw,success,Plan Formation,Solution Execution,277,7843,0.03531812
AIMEPass4,ZeroClaw,success,Problem Framing,Plan Formation,5,7843,0.00063751
AIMEPass4,ZeroClaw,success,Problem Framing,Problem Framing,1,7843,0.00012750
AIMEPass4,ZeroClaw,success,Problem Framing,Result Auditing,3,7843,0.00038251
AIMEPass4,ZeroClaw,success,Problem Framing,Solution Execution,100,7843,0.01275022
AIMEPass4,ZeroClaw,success,Result Auditing,Answer Delivery,1,7843,0.00012750
AIMEPass4,ZeroClaw,success,Result Auditing,Plan Formation,25,7843,0.00318756
AIMEPass4,ZeroClaw,success,Result Auditing,Problem Framing,6,7843,0.00076501
AIMEPass4,ZeroClaw,success,Result Auditing,Result Auditing,151,7843,0.01925284
AIMEPass4,ZeroClaw,success,Result Auditing,Solution Execution,571,7843,0.07280377
AIMEPass4,ZeroClaw,success,Solution Execution,Answer Delivery,73,7843,0.00930766
AIMEPass4,ZeroClaw,success,Solution Execution,Plan Formation,253,7843,0.03225806
AIMEPass4,ZeroClaw,success,Solution Execution,Problem Framing,88,7843,0.01122020
AIMEPass4,ZeroClaw,success,Solution Execution,Result Auditing,561,7843,0.07152875
AIMEPass4,ZeroClaw,success,Solution Execution,Solution Execution,5464,7843,0.69667219
AIMEPass4,ZeroClaw,success,Solution Execution,__END__,1,7843,0.00012750
AIMEPass4,ZeroClaw,success,__START__,Plan Formation,51,7843,0.00650261
AIMEPass4,ZeroClaw,success,__START__,Problem Framing,4,7843,0.00051001
AIMEPass4,ZeroClaw,success,__START__,Solution Execution,28,7843,0.00357006
GPQA,DirectLLM,failure,Answer Delivery,Problem Framing,1,33473,0.00002987
GPQA,DirectLLM,failure,Answer Delivery,Result Auditing,1,33473,0.00002987
GPQA,DirectLLM,failure,Answer Delivery,Solution Execution,2,33473,0.00005975
GPQA,DirectLLM,failure,Answer Delivery,__END__,26,33473,0.00077675
GPQA,DirectLLM,failure,Plan Formation,Plan Formation,3659,33473,0.10931198
GPQA,DirectLLM,failure,Plan Formation,Problem Framing,23,33473,0.00068712
GPQA,DirectLLM,failure,Plan Formation,Result Auditing,286,33473,0.00854420
GPQA,DirectLLM,failure,Plan Formation,Solution Execution,2806,33473,0.08382876
GPQA,DirectLLM,failure,Plan Formation,__END__,4,33473,0.00011950
GPQA,DirectLLM,failure,Problem Framing,Plan Formation,15,33473,0.00044812
GPQA,DirectLLM,failure,Problem Framing,Problem Framing,7,33473,0.00020912
GPQA,DirectLLM,failure,Problem Framing,Result Auditing,13,33473,0.00038837
GPQA,DirectLLM,failure,Problem Framing,Solution Execution,177,33473,0.00528784
GPQA,DirectLLM,failure,Result Auditing,Answer Delivery,1,33473,0.00002987
GPQA,DirectLLM,failure,Result Auditing,Plan Formation,298,33473,0.00890270
GPQA,DirectLLM,failure,Result Auditing,Problem Framing,13,33473,0.00038837
GPQA,DirectLLM,failure,Result Auditing,Result Auditing,725,33473,0.02165925
GPQA,DirectLLM,failure,Result Auditing,Solution Execution,1997,33473,0.05966002
GPQA,DirectLLM,failure,Result Auditing,__END__,2,33473,0.00005975
GPQA,DirectLLM,failure,Solution Execution,Answer Delivery,29,33473,0.00086637
GPQA,DirectLLM,failure,Solution Execution,Plan Formation,2806,33473,0.08382876
GPQA,DirectLLM,failure,Solution Execution,Problem Framing,166,33473,0.00495922
GPQA,DirectLLM,failure,Solution Execution,Result Auditing,2011,33473,0.06007827
GPQA,DirectLLM,failure,Solution Execution,Solution Execution,18359,33473,0.54847190
GPQA,DirectLLM,failure,Solution Execution,__END__,7,33473,0.00020912
GPQA,DirectLLM,failure,__START__,Problem Framing,2,33473,0.00005975
GPQA,DirectLLM,failure,__START__,Solution Execution,37,33473,0.00110537
GPQA,DirectLLM,success,Answer Delivery,Answer Delivery,3,33245,0.00009024
GPQA,DirectLLM,success,Answer Delivery,Plan Formation,1,33245,0.00003008
GPQA,DirectLLM,success,Answer Delivery,Result Auditing,5,33245,0.00015040
GPQA,DirectLLM,success,Answer Delivery,Solution Execution,17,33245,0.00051136
GPQA,DirectLLM,success,Answer Delivery,__END__,159,33245,0.00478267
GPQA,DirectLLM,success,Plan Formation,Answer Delivery,9,33245,0.00027072
GPQA,DirectLLM,success,Plan Formation,Plan Formation,1888,33245,0.05679049
GPQA,DirectLLM,success,Plan Formation,Problem Framing,48,33245,0.00144383
GPQA,DirectLLM,success,Plan Formation,Result Auditing,232,33245,0.00697849
GPQA,DirectLLM,success,Plan Formation,Solution Execution,2800,33245,0.08422319
GPQA,DirectLLM,success,Problem Framing,Answer Delivery,1,33245,0.00003008
GPQA,DirectLLM,success,Problem Framing,Plan Formation,33,33245,0.00099263
GPQA,DirectLLM,success,Problem Framing,Problem Framing,20,33245,0.00060159
GPQA,DirectLLM,success,Problem Framing,Result Auditing,33,33245,0.00099263
GPQA,DirectLLM,success,Problem Framing,Solution Execution,333,33245,0.01001654
GPQA,DirectLLM,success,Result Auditing,Answer Delivery,4,33245,0.00012032
GPQA,DirectLLM,success,Result Auditing,Plan Formation,446,33245,0.01341555
GPQA,DirectLLM,success,Result Auditing,Problem Framing,20,33245,0.00060159
GPQA,DirectLLM,success,Result Auditing,Result Auditing,365,33245,0.01097909
GPQA,DirectLLM,success,Result Auditing,Solution Execution,2082,33245,0.06262596
GPQA,DirectLLM,success,Solution Execution,Answer Delivery,168,33245,0.00505339
GPQA,DirectLLM,success,Solution Execution,Plan Formation,2609,33245,0.07847797
GPQA,DirectLLM,success,Solution Execution,Problem Framing,328,33245,0.00986615
GPQA,DirectLLM,success,Solution Execution,Result Auditing,2282,33245,0.06864190
GPQA,DirectLLM,success,Solution Execution,Solution Execution,19200,33245,0.57753046
GPQA,DirectLLM,success,__START__,Problem Framing,4,33245,0.00012032
GPQA,DirectLLM,success,__START__,Solution Execution,155,33245,0.00466236
GPQA,OpenClaw,failure,Answer Delivery,Result Auditing,9,20642,0.00043600
GPQA,OpenClaw,failure,Answer Delivery,Solution Execution,4,20642,0.00019378
GPQA,OpenClaw,failure,Answer Delivery,__END__,19,20642,0.00092045
GPQA,OpenClaw,failure,Plan Formation,Answer Delivery,1,20642,0.00004844
GPQA,OpenClaw,failure,Plan Formation,Plan Formation,20,20642,0.00096890
GPQA,OpenClaw,failure,Plan Formation,Problem Framing,5,20642,0.00024222
GPQA,OpenClaw,failure,Plan Formation,Result Auditing,21,20642,0.00101734
GPQA,OpenClaw,failure,Plan Formation,Solution Execution,537,20642,0.02601492
GPQA,OpenClaw,failure,Plan Formation,__END__,1,20642,0.00004844
GPQA,OpenClaw,failure,Problem Framing,Answer Delivery,3,20642,0.00014533
GPQA,OpenClaw,failure,Problem Framing,Plan Formation,3,20642,0.00014533
GPQA,OpenClaw,failure,Problem Framing,Problem Framing,213,20642,0.01031877
GPQA,OpenClaw,failure,Problem Framing,Result Auditing,212,20642,0.01027032
GPQA,OpenClaw,failure,Problem Framing,Solution Execution,1436,20642,0.06956690
GPQA,OpenClaw,failure,Problem Framing,__END__,5,20642,0.00024222
GPQA,OpenClaw,failure,Result Auditing,Answer Delivery,2,20642,0.00009689
GPQA,OpenClaw,failure,Result Auditing,Plan Formation,119,20642,0.00576495
GPQA,OpenClaw,failure,Result Auditing,Problem Framing,9,20642,0.00043600
GPQA,OpenClaw,failure,Result Auditing,Result Auditing,1406,20642,0.06811355
GPQA,OpenClaw,failure,Result Auditing,Solution Execution,2341,20642,0.11340955
GPQA,OpenClaw,failure,Result Auditing,__END__,12,20642,0.00058134
GPQA,OpenClaw,failure,Solution Execution,Answer Delivery,26,20642,0.00125957
GPQA,OpenClaw,failure,Solution Execution,Plan Formation,411,20642,0.01991086
GPQA,OpenClaw,failure,Solution Execution,Problem Framing,1642,20642,0.07954656
