benchmark,harness,outcome,action,count,event_total,event_fraction
AIMEPass4,ZeroClaw,failure,Result Auditing,28,376,0.07446809
AIMEPass4,ZeroClaw,failure,Solution Execution,314,376,0.83510638
AIMEPass4,ZeroClaw,success,Answer Delivery,116,1470,0.07891156
AIMEPass4,ZeroClaw,success,Plan Formation,103,1470,0.07006803
AIMEPass4,ZeroClaw,success,Problem Framing,4,1470,0.00272109
AIMEPass4,ZeroClaw,success,Result Auditing,16,1470,0.01088435
AIMEPass4,ZeroClaw,success,Solution Execution,1231,1470,0.83741497
GPQA,DirectLLM,failure,Answer Delivery,28,250,0.11200000
GPQA,DirectLLM,failure,Plan Formation,22,250,0.08800000
GPQA,DirectLLM,failure,Problem Framing,18,250,0.07200000
GPQA,DirectLLM,failure,Result Auditing,7,250,0.02800000
GPQA,DirectLLM,failure,Solution Execution,175,250,0.70000000
GPQA,DirectLLM,success,Answer Delivery,165,1407,0.11727079
GPQA,DirectLLM,success,Plan Formation,62,1407,0.04406539
GPQA,DirectLLM,success,Problem Framing,64,1407,0.04548685
GPQA,DirectLLM,success,Result Auditing,10,1407,0.00710732
GPQA,DirectLLM,success,Solution Execution,1106,1407,0.78606965
GPQA,OpenClaw,failure,Answer Delivery,27,315,0.08571429
GPQA,OpenClaw,failure,Plan Formation,13,315,0.04126984
GPQA,OpenClaw,failure,Problem Framing,9,315,0.02857143
GPQA,OpenClaw,failure,Result Auditing,11,315,0.03492063
GPQA,OpenClaw,failure,Solution Execution,165,315,0.52380952
GPQA,OpenClaw,failure,Tool Grounding,90,315,0.28571429
GPQA,OpenClaw,success,Answer Delivery,169,1483,0.11395819
GPQA,OpenClaw,success,Plan Formation,70,1483,0.04720162
GPQA,OpenClaw,success,Problem Framing,66,1483,0.04450438
GPQA,OpenClaw,success,Result Auditing,15,1483,0.01011463
GPQA,OpenClaw,success,Solution Execution,1032,1483,0.69588672
GPQA,OpenClaw,success,Tool Grounding,131,1483,0.08833446
GPQA,OpenClaw,unknown,Answer Delivery,2,21,0.09523810
GPQA,OpenClaw,unknown,Solution Execution,10,21,0.47619048
GPQA,OpenClaw,unknown,Tool Grounding,9,21,0.42857143
GPQA,OpenCode,failure,Answer Delivery,42,501,0.08383234
GPQA,OpenCode,failure,Plan Formation,16,501,0.03193613
GPQA,OpenCode,failure,Problem Framing,15,501,0.02994012
GPQA,OpenCode,failure,Result Auditing,36,501,0.07185629
GPQA,OpenCode,failure,Solution Execution,343,501,0.68463074
GPQA,OpenCode,failure,Tool Grounding,49,501,0.09780439
GPQA,OpenCode,success,Answer Delivery,348,2139,0.16269285
GPQA,OpenCode,success,Plan Formation,104,2139,0.04862085
GPQA,OpenCode,success,Problem Framing,56,2139,0.02618046
GPQA,OpenCode,success,Result Auditing,34,2139,0.01589528
GPQA,OpenCode,success,Solution Execution,1454,2139,0.67975690
GPQA,OpenCode,success,Tool Grounding,143,2139,0.06685367
GPQA,ZeroClaw,failure,Answer Delivery,23,346,0.06647399
GPQA,ZeroClaw,failure,Plan Formation,17,346,0.04913295
GPQA,ZeroClaw,failure,Problem Framing,9,346,0.02601156
GPQA,ZeroClaw,failure,Result Auditing,91,346,0.26300578
GPQA,ZeroClaw,failure,Solution Execution,206,346,0.59537572
GPQA,ZeroClaw,success,Answer Delivery,171,1706,0.10023447
GPQA,ZeroClaw,success,Plan Formation,91,1706,0.05334115
GPQA,ZeroClaw,success,Problem Framing,60,1706,0.03516999
GPQA,ZeroClaw,success,Result Auditing,113,1706,0.06623681
GPQA,ZeroClaw,success,Solution Execution,1271,1706,0.74501758
HLE,DirectLLM,failure,Answer Delivery,392,6278,0.06244027
HLE,DirectLLM,failure,Plan Formation,227,6278,0.03615801
HLE,DirectLLM,failure,Problem Framing,166,6278,0.02644154
HLE,DirectLLM,failure,Result Auditing,97,6278,0.01545078
HLE,DirectLLM,failure,Solution Execution,5396,6278,0.85950940
HLE,DirectLLM,success,Answer Delivery,165,1326,0.12443439
HLE,DirectLLM,success,Plan Formation,89,1326,0.06711916
HLE,DirectLLM,success,Problem Framing,55,1326,0.04147813
HLE,DirectLLM,success,Result Auditing,35,1326,0.02639517
HLE,DirectLLM,success,Solution Execution,982,1326,0.74057315
HLE,OpenClaw,failure,Answer Delivery,369,4621,0.07985285
HLE,OpenClaw,failure,Plan Formation,180,4621,0.03895261
HLE,OpenClaw,failure,Problem Framing,107,4621,0.02315516
HLE,OpenClaw,failure,Result Auditing,100,4621,0.02164034
HLE,OpenClaw,failure,Solution Execution,2038,4621,0.44103008
HLE,OpenClaw,failure,Tool Grounding,1827,4621,0.39536897
HLE,OpenClaw,success,Answer Delivery,143,1369,0.10445581
HLE,OpenClaw,success,Plan Formation,46,1369,0.03360117
HLE,OpenClaw,success,Problem Framing,35,1369,0.02556611
HLE,OpenClaw,success,Result Auditing,29,1369,0.02118335
HLE,OpenClaw,success,Solution Execution,781,1369,0.57048941
HLE,OpenClaw,success,Tool Grounding,335,1369,0.24470416
HLE,OpenCode,failure,Answer Delivery,798,66430,0.01201264
HLE,OpenCode,failure,Plan Formation,10532,66430,0.15854283
HLE,OpenCode,failure,Problem Framing,630,66430,0.00948367
HLE,OpenCode,failure,Result Auditing,16580,66430,0.24958603
HLE,OpenCode,failure,Solution Execution,32782,66430,0.49348186
HLE,OpenCode,failure,Tool Grounding,5108,66430,0.07689297
HLE,OpenCode,success,Answer Delivery,284,2623,0.10827297
HLE,OpenCode,success,Plan Formation,162,2623,0.06176134
HLE,OpenCode,success,Problem Framing,34,2623,0.01296226
HLE,OpenCode,success,Result Auditing,44,2623,0.01677469
HLE,OpenCode,success,Solution Execution,1544,2623,0.58863896
HLE,OpenCode,success,Tool Grounding,555,2623,0.21158978
HLE,ZeroClaw,failure,Answer Delivery,383,8594,0.04456598
HLE,ZeroClaw,failure,Plan Formation,253,8594,0.02943914
HLE,ZeroClaw,failure,Problem Framing,96,8594,0.01117058
HLE,ZeroClaw,failure,Result Auditing,1532,8594,0.17826391
HLE,ZeroClaw,failure,Solution Execution,6330,8594,0.73656039
HLE,ZeroClaw,success,Answer Delivery,172,1830,0.09398907
HLE,ZeroClaw,success,Plan Formation,83,1830,0.04535519
HLE,ZeroClaw,success,Problem Framing,40,1830,0.02185792
HLE,ZeroClaw,success,Result Auditing,430,1830,0.23497268
HLE,ZeroClaw,success,Solution Execution,1105,1830,0.60382514
