benchmark,harness,outcome,action,count,event_total,event_fraction
GPQA,DirectLLM,failure,Solution Execution,23378,33434,0.69922833
GPQA,DirectLLM,success,Answer Delivery,185,33086,0.00559149
GPQA,DirectLLM,success,Plan Formation,4977,33086,0.15042616
GPQA,DirectLLM,success,Problem Framing,420,33086,0.01269419
GPQA,DirectLLM,success,Result Auditing,2917,33086,0.08816418
GPQA,DirectLLM,success,Solution Execution,24587,33086,0.74312398
GPQA,OpenClaw,failure,Answer Delivery,32,20575,0.00155529
GPQA,OpenClaw,failure,Plan Formation,585,20575,0.02843256
GPQA,OpenClaw,failure,Problem Framing,1872,20575,0.09098420
GPQA,OpenClaw,failure,Result Auditing,3889,20575,0.18901580
GPQA,OpenClaw,failure,Solution Execution,14158,20575,0.68811665
GPQA,OpenClaw,failure,Tool Grounding,39,20575,0.00189550
GPQA,OpenClaw,success,Answer Delivery,141,3446,0.04091701
GPQA,OpenClaw,success,Plan Formation,394,3446,0.11433546
GPQA,OpenClaw,success,Problem Framing,67,3446,0.01944283
GPQA,OpenClaw,success,Result Auditing,221,3446,0.06413233
GPQA,OpenClaw,success,Solution Execution,2400,3446,0.69645966
GPQA,OpenClaw,success,Tool Grounding,223,3446,0.06471271
GPQA,OpenCode,failure,Answer Delivery,50,3413,0.01464987
GPQA,OpenCode,failure,Plan Formation,223,3413,0.06533841
GPQA,OpenCode,failure,Problem Framing,149,3413,0.04365661
GPQA,OpenCode,failure,Result Auditing,591,3413,0.17316144
GPQA,OpenCode,failure,Solution Execution,2383,3413,0.69821272
GPQA,OpenCode,failure,Tool Grounding,17,3413,0.00498096
GPQA,OpenCode,success,Answer Delivery,298,7099,0.04197774
GPQA,OpenCode,success,Plan Formation,575,7099,0.08099732
GPQA,OpenCode,success,Problem Framing,185,7099,0.02606001
GPQA,OpenCode,success,Result Auditing,398,7099,0.05606423
GPQA,OpenCode,success,Solution Execution,5505,7099,0.77546133
GPQA,OpenCode,success,Tool Grounding,138,7099,0.01943936
GPQA,OpenCode,unknown,Plan Formation,2,273,0.00732601
GPQA,OpenCode,unknown,Result Auditing,42,273,0.15384615
GPQA,OpenCode,unknown,Solution Execution,229,273,0.83882784
GPQA,ZeroClaw,failure,Answer Delivery,32,1440,0.02222222
GPQA,ZeroClaw,failure,Plan Formation,134,1440,0.09305556
GPQA,ZeroClaw,failure,Problem Framing,46,1440,0.03194444
GPQA,ZeroClaw,failure,Result Auditing,168,1440,0.11666667
GPQA,ZeroClaw,failure,Solution Execution,1060,1440,0.73611111
GPQA,ZeroClaw,success,Answer Delivery,159,6073,0.02618146
GPQA,ZeroClaw,success,Plan Formation,487,6073,0.08019101
GPQA,ZeroClaw,success,Problem Framing,137,6073,0.02255887
GPQA,ZeroClaw,success,Result Auditing,431,6073,0.07096987
GPQA,ZeroClaw,success,Solution Execution,4859,6073,0.80009880
HLE,DirectLLM,failure,Answer Delivery,609,250831,0.00242793
HLE,DirectLLM,failure,Plan Formation,68162,250831,0.27174472
HLE,DirectLLM,failure,Problem Framing,1758,250831,0.00700870
HLE,DirectLLM,failure,Result Auditing,33937,250831,0.13529827
HLE,DirectLLM,failure,Solution Execution,146365,250831,0.58352038
HLE,DirectLLM,success,Answer Delivery,154,55492,0.00277517
HLE,DirectLLM,success,Plan Formation,8810,55492,0.15876162
HLE,DirectLLM,success,Problem Framing,605,55492,0.01090247
HLE,DirectLLM,success,Result Auditing,7540,55492,0.13587544
HLE,DirectLLM,success,Solution Execution,38383,55492,0.69168529
HLE,OpenClaw,failure,Answer Delivery,683,71031,0.00961552
HLE,OpenClaw,failure,Plan Formation,4115,71031,0.05793245
HLE,OpenClaw,failure,Problem Framing,2851,71031,0.04013740
HLE,OpenClaw,failure,Result Auditing,13003,71031,0.18306092
HLE,OpenClaw,failure,Solution Execution,45002,71031,0.63355436
HLE,OpenClaw,failure,Tool Grounding,5377,71031,0.07569934
HLE,OpenClaw,success,Answer Delivery,92,4312,0.02133581
HLE,OpenClaw,success,Plan Formation,286,4312,0.06632653
HLE,OpenClaw,success,Problem Framing,185,4312,0.04290353
HLE,OpenClaw,success,Result Auditing,461,4312,0.10691095
HLE,OpenClaw,success,Solution Execution,3041,4312,0.70524119
HLE,OpenClaw,success,Tool Grounding,247,4312,0.05728200
HLE,OpenClaw,unknown,Answer Delivery,1,463,0.00215983
HLE,OpenClaw,unknown,Plan Formation,7,463,0.01511879
HLE,OpenClaw,unknown,Problem Framing,2,463,0.00431965
HLE,OpenClaw,unknown,Result Auditing,127,463,0.27429806
HLE,OpenClaw,unknown,Solution Execution,262,463,0.56587473
HLE,OpenClaw,unknown,Tool Grounding,64,463,0.13822894
HLE,OpenCode,failure,Answer Delivery,746,83122,0.00897476
HLE,OpenCode,failure,Plan Formation,4031,83122,0.04849498
HLE,OpenCode,failure,Problem Framing,2740,83122,0.03296360
HLE,OpenCode,failure,Result Auditing,14527,83122,0.17476721
HLE,OpenCode,failure,Solution Execution,59319,83122,0.71363779
HLE,OpenCode,failure,Tool Grounding,1759,83122,0.02116167
HLE,OpenCode,success,Answer Delivery,176,5339,0.03296497
HLE,OpenCode,success,Plan Formation,401,5339,0.07510770
HLE,OpenCode,success,Problem Framing,251,5339,0.04701255
HLE,OpenCode,success,Result Auditing,549,5339,0.10282824
HLE,OpenCode,success,Solution Execution,3840,5339,0.71923581
HLE,OpenCode,success,Tool Grounding,122,5339,0.02285072
HLE,OpenCode,unknown,Problem Framing,2,92,0.02173913
HLE,OpenCode,unknown,Result Auditing,31,92,0.33695652
HLE,OpenCode,unknown,Solution Execution,55,92,0.59782609
HLE,OpenCode,unknown,Tool Grounding,4,92,0.04347826
HLE,ZeroClaw,failure,Answer Delivery,437,21304,0.02051258
HLE,ZeroClaw,failure,Plan Formation,1846,21304,0.08665039
HLE,ZeroClaw,failure,Problem Framing,996,21304,0.04675178
HLE,ZeroClaw,failure,Result Auditing,3409,21304,0.16001690
HLE,ZeroClaw,failure,Solution Execution,14616,21304,0.68606834
HLE,ZeroClaw,success,Answer Delivery,135,4944,0.02730583
HLE,ZeroClaw,success,Plan Formation,346,4944,0.06998382
HLE,ZeroClaw,success,Problem Framing,178,4944,0.03600324
HLE,ZeroClaw,success,Result Auditing,747,4944,0.15109223
HLE,ZeroClaw,success,Solution Execution,3538,4944,0.71561489
