benchmark,harness,outcome,from_tool_type,to_tool_type,transition_count,transition_total,transition_fraction
HLE,OpenCode,success,__START__,python,6,150,0.04000000
HLE,OpenCode,success,__START__,web_fetch,5,150,0.03333333
HLE,OpenCode,success,__START__,write,1,150,0.00666667
HLE,OpenCode,success,bash,__END__,5,150,0.03333333
HLE,OpenCode,success,bash,bash,9,150,0.06000000
HLE,OpenCode,success,bash,python,2,150,0.01333333
HLE,OpenCode,success,bash,web_fetch,1,150,0.00666667
HLE,OpenCode,success,invalid,web_fetch,1,150,0.00666667
HLE,OpenCode,success,python,__END__,8,150,0.05333333
HLE,OpenCode,success,python,bash,1,150,0.00666667
HLE,OpenCode,success,python,python,25,150,0.16666667
HLE,OpenCode,success,python,search,1,150,0.00666667
HLE,OpenCode,success,python,web_fetch,1,150,0.00666667
HLE,OpenCode,success,search,__END__,1,150,0.00666667
HLE,OpenCode,success,search,python,1,150,0.00666667
HLE,OpenCode,success,search,search,36,150,0.24000000
HLE,OpenCode,success,search,web_fetch,5,150,0.03333333
HLE,OpenCode,success,web_fetch,__END__,5,150,0.03333333
HLE,OpenCode,success,web_fetch,invalid,1,150,0.00666667
HLE,OpenCode,success,web_fetch,python,1,150,0.00666667
HLE,OpenCode,success,web_fetch,search,6,150,0.04000000
HLE,OpenCode,success,web_fetch,web_fetch,20,150,0.13333333
HLE,OpenCode,success,write,python,1,150,0.00666667
HLE,OpenCode,unknown,__START__,image,1,5,0.20000000
HLE,OpenCode,unknown,bash,python,1,5,0.20000000
HLE,OpenCode,unknown,image,bash,1,5,0.20000000
HLE,OpenCode,unknown,python,read,1,5,0.20000000
HLE,OpenCode,unknown,read,__END__,1,5,0.20000000
