benchmark,harness,outcome,from_tool_type,to_tool_type,transition_count,transition_total,transition_fraction
HLE,OpenClaw,failure,web_fetch,read,1,2049,0.00048804
HLE,OpenClaw,failure,web_fetch,search,30,2049,0.01464129
HLE,OpenClaw,failure,web_fetch,web_fetch,34,2049,0.01659346
HLE,OpenClaw,failure,write,__END__,1,2049,0.00048804
HLE,OpenClaw,failure,write,bash,8,2049,0.00390434
HLE,OpenClaw,failure,write,edit,1,2049,0.00048804
HLE,OpenClaw,failure,write,python,27,2049,0.01317716
HLE,OpenClaw,failure,write,write,1,2049,0.00048804
HLE,OpenClaw,success,__START__,bash,33,397,0.08312343
HLE,OpenClaw,success,__START__,python,17,397,0.04282116
HLE,OpenClaw,success,__START__,search,6,397,0.01511335
HLE,OpenClaw,success,__START__,web_fetch,5,397,0.01259446
HLE,OpenClaw,success,__START__,write,4,397,0.01007557
HLE,OpenClaw,success,bash,__END__,16,397,0.04030227
HLE,OpenClaw,success,bash,bash,31,397,0.07808564
HLE,OpenClaw,success,bash,python,4,397,0.01007557
HLE,OpenClaw,success,bash,search,13,397,0.03274559
HLE,OpenClaw,success,bash,tool,57,397,0.14357683
HLE,OpenClaw,success,bash,web_fetch,4,397,0.01007557
HLE,OpenClaw,success,edit,python,3,397,0.00755668
HLE,OpenClaw,success,python,__END__,22,397,0.05541562
HLE,OpenClaw,success,python,bash,4,397,0.01007557
HLE,OpenClaw,success,python,edit,3,397,0.00755668
HLE,OpenClaw,success,python,python,48,397,0.12090680
HLE,OpenClaw,success,python,web_fetch,1,397,0.00251889
HLE,OpenClaw,success,python,write,2,397,0.00503778
HLE,OpenClaw,success,search,__END__,10,397,0.02518892
HLE,OpenClaw,success,search,bash,9,397,0.02267003
HLE,OpenClaw,success,search,search,4,397,0.01007557
HLE,OpenClaw,success,search,web_fetch,8,397,0.02015113
HLE,OpenClaw,success,tool,__END__,7,397,0.01763224
HLE,OpenClaw,success,tool,bash,41,397,0.10327456
HLE,OpenClaw,success,tool,search,5,397,0.01259446
HLE,OpenClaw,success,tool,web_fetch,4,397,0.01007557
HLE,OpenClaw,success,web_fetch,__END__,10,397,0.02518892
HLE,OpenClaw,success,web_fetch,bash,7,397,0.01763224
HLE,OpenClaw,success,web_fetch,python,2,397,0.00503778
HLE,OpenClaw,success,web_fetch,search,3,397,0.00755668
HLE,OpenClaw,success,web_fetch,web_fetch,8,397,0.02015113
HLE,OpenClaw,success,write,python,6,397,0.01511335
HLE,OpenCode,failure,__START__,bash,106,5448,0.01945668
HLE,OpenCode,failure,__START__,python,52,5448,0.00954479
HLE,OpenCode,failure,__START__,read,2,5448,0.00036711
HLE,OpenCode,failure,__START__,search,16,5448,0.00293686
HLE,OpenCode,failure,__START__,task,15,5448,0.00275330
HLE,OpenCode,failure,__START__,web_fetch,73,5448,0.01339941
HLE,OpenCode,failure,__START__,write,8,5448,0.00146843
HLE,OpenCode,failure,bash,__END__,33,5448,0.00605727
HLE,OpenCode,failure,bash,bash,203,5448,0.03726138
HLE,OpenCode,failure,bash,glob,1,5448,0.00018355
HLE,OpenCode,failure,bash,python,15,5448,0.00275330
HLE,OpenCode,failure,bash,read,3,5448,0.00055066
HLE,OpenCode,failure,bash,search,10,5448,0.00183554
HLE,OpenCode,failure,bash,task,1,5448,0.00018355
HLE,OpenCode,failure,bash,web_fetch,83,5448,0.01523495
HLE,OpenCode,failure,bash,write,10,5448,0.00183554
HLE,OpenCode,failure,edit,edit,1,5448,0.00018355
HLE,OpenCode,failure,edit,python,1,5448,0.00018355
HLE,OpenCode,failure,glob,__END__,1,5448,0.00018355
HLE,OpenCode,failure,invalid,web_fetch,1,5448,0.00018355
HLE,OpenCode,failure,python,__END__,59,5448,0.01082966
HLE,OpenCode,failure,python,bash,5,5448,0.00091777
HLE,OpenCode,failure,python,edit,1,5448,0.00018355
HLE,OpenCode,failure,python,python,302,5448,0.05543319
HLE,OpenCode,failure,python,read,4,5448,0.00073421
HLE,OpenCode,failure,python,search,4,5448,0.00073421
HLE,OpenCode,failure,python,task,2,5448,0.00036711
HLE,OpenCode,failure,python,web_fetch,28,5448,0.00513950
HLE,OpenCode,failure,python,write,6,5448,0.00110132
HLE,OpenCode,failure,read,__END__,2,5448,0.00036711
HLE,OpenCode,failure,read,bash,1,5448,0.00018355
HLE,OpenCode,failure,read,python,6,5448,0.00110132
HLE,OpenCode,failure,search,__END__,16,5448,0.00293686
HLE,OpenCode,failure,search,bash,4,5448,0.00073421
HLE,OpenCode,failure,search,python,3,5448,0.00055066
HLE,OpenCode,failure,search,search,29,5448,0.00532305
HLE,OpenCode,failure,search,web_fetch,21,5448,0.00385463
HLE,OpenCode,failure,task,__END__,17,5448,0.00312041
HLE,OpenCode,failure,task,python,1,5448,0.00018355
HLE,OpenCode,failure,task,search,1,5448,0.00018355
HLE,OpenCode,failure,task,task,6,5448,0.00110132
HLE,OpenCode,failure,task,web_fetch,2,5448,0.00036711
HLE,OpenCode,failure,web_fetch,__END__,144,5448,0.02643172
HLE,OpenCode,failure,web_fetch,bash,29,5448,0.00532305
HLE,OpenCode,failure,web_fetch,invalid,1,5448,0.00018355
HLE,OpenCode,failure,web_fetch,python,18,5448,0.00330396
HLE,OpenCode,failure,web_fetch,search,13,5448,0.00238620
HLE,OpenCode,failure,web_fetch,task,3,5448,0.00055066
HLE,OpenCode,failure,web_fetch,web_fetch,4060,5448,0.74522761
HLE,OpenCode,failure,write,bash,11,5448,0.00201909
HLE,OpenCode,failure,write,python,13,5448,0.00238620
HLE,OpenCode,failure,write,write,1,5448,0.00018355
HLE,OpenCode,success,__START__,bash,20,665,0.03007519
HLE,OpenCode,success,__START__,python,32,665,0.04812030
HLE,OpenCode,success,__START__,read,2,665,0.00300752
HLE,OpenCode,success,__START__,search,3,665,0.00451128
HLE,OpenCode,success,__START__,task,3,665,0.00451128
HLE,OpenCode,success,__START__,web_fetch,12,665,0.01804511
HLE,OpenCode,success,__START__,write,4,665,0.00601504
HLE,OpenCode,success,bash,__END__,8,665,0.01203008
HLE,OpenCode,success,bash,bash,86,665,0.12932331
HLE,OpenCode,success,bash,python,4,665,0.00601504
HLE,OpenCode,success,bash,search,1,665,0.00150376
HLE,OpenCode,success,bash,web_fetch,15,665,0.02255639
HLE,OpenCode,success,python,__END__,33,665,0.04962406
HLE,OpenCode,success,python,bash,4,665,0.00601504
HLE,OpenCode,success,python,python,122,665,0.18345865
HLE,OpenCode,success,python,search,2,665,0.00300752
HLE,OpenCode,success,python,web_fetch,8,665,0.01203008
HLE,OpenCode,success,python,write,1,665,0.00150376
HLE,OpenCode,success,read,python,2,665,0.00300752
HLE,OpenCode,success,search,__END__,2,665,0.00300752
HLE,OpenCode,success,search,bash,1,665,0.00150376
HLE,OpenCode,success,search,python,1,665,0.00150376
HLE,OpenCode,success,search,search,6,665,0.00902256
HLE,OpenCode,success,search,task,1,665,0.00150376
HLE,OpenCode,success,search,web_fetch,8,665,0.01203008
HLE,OpenCode,success,task,__END__,4,665,0.00601504
HLE,OpenCode,success,web_fetch,__END__,29,665,0.04360902
HLE,OpenCode,success,web_fetch,bash,3,665,0.00451128
HLE,OpenCode,success,web_fetch,python,4,665,0.00601504
HLE,OpenCode,success,web_fetch,search,7,665,0.01052632
HLE,OpenCode,success,web_fetch,web_fetch,232,665,0.34887218
HLE,OpenCode,success,write,python,5,665,0.00751880
