task_id,harness,paired_outcome,harness_correct,n_segments,arm_sequence,dominant_mode,dominant_rate,arm_entropy,rate_SE,rate_PD,rate_CV,rate_IC,rate_UN,rate_RR,rate_reason,reason->reason,reason->PD,PD->IC,looping_marker_count,self_correction_marker_count,uncertainty_marker_count,harness_repeated_ngram_rate,harness_mean_entropy,harness_n_tokens,harness_malformed_prediction,harness_missing_boxed_answer,reason->IC,IC->reason,PD->reason,reason->UN,UN->reason,PD->PD,IC->PD,reason->SE,PD->UN,IC->IC,reason->RR,RR->reason,PD->SE,SE->reason,SE->PD,UN->UN,UN->PD,UN->IC,IC->UN,RR->PD,PD->RR,RR->UN,RR->RR,UN->RR,IC->RR,SE->IC
gpqa_11,openclaw,both_correct,True,4,reason|PD|reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,0.6667,,0,6,0,0.0831024930747922,0.2150614690782764,796,False,False,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,
gpqa_110,openclaw,regression,False,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,230,230,229,0.9875198927883408,0.0370122567919135,54424,True,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_111,openclaw,both_wrong,False,6,reason|PD|PD|PD|IC|PD,PD,0.6666666666666666,0.8676,0.0,0.6667,0.0,0.1667,0.0,0.0,0.1667,,0.2,0.2,2,7,0,0.0889952153110047,0.3887905119648778,3482,False,False,,,,,,0.4,0.2,,,,,,,,,,,,,,,,,,,
gpqa_112,openclaw,both_wrong,False,2,PD|reason,PD,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,,,0,0,0,0.0,0.0,0,True,True,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
gpqa_113,openclaw,both_wrong,False,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,3,9,3,0.0638792102206736,0.3502490288728195,1959,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_114,openclaw,rescue,True,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1,2,1,0.0732484076433121,0.1951487707824254,1497,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_115,openclaw,both_correct,True,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0,5,1,0.0401396160558464,0.4025292764482571,4161,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_116,openclaw,both_wrong,False,2,reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,1.0,,306,909,0,0.9665302591742356,0.0,0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_117,openclaw,both_correct,True,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0,6,0,0.0793650793650793,0.312496458382379,3412,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_118,openclaw,both_correct,True,2,reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,1.0,,7,17,0,0.0770901194353963,0.3841608817791287,2029,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_119,openclaw,rescue,True,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0,25,1,0.0867992766726944,0.2960303909246122,4291,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_12,openclaw,regression,False,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,54,3,0,0.940565118544982,0.0299657709260934,24937,True,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_120,openclaw,both_wrong,False,2,PD|IC,PD,0.5,0.6931,0.0,0.5,0.0,0.5,0.0,0.0,0.0,,,1.0,336,10,1,0.9809607867860296,0.0,0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_121,openclaw,both_correct,True,2,reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,1.0,,2,1,0,0.1370143149284253,0.2382733172457408,1049,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_122,openclaw,both_correct,True,6,PD|PD|PD|PD|PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0,5,0,0.0595667870036101,0.3792946235393061,1045,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_123,openclaw,both_wrong,False,2,reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,1.0,,2,7,4,0.0818181818181818,0.3501531737218936,4749,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_124,openclaw,regression,False,2,reason|SE,reason,0.5,0.6931,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,,,7,4,1,0.9082053203446984,0.0607184425229938,13762,True,True,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
gpqa_125,openclaw,regression,False,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,24,565,136,0.937991059333514,0.0929080420829657,66646,True,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_126,openclaw,both_correct,True,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0,5,0,0.0925714285714285,0.2885125391697404,1981,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_127,openclaw,regression,False,2,reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,1.0,,0,131,0,0.9547345004352452,0.0320790958206604,13761,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_128,openclaw,regression,False,2,reason|SE,reason,0.5,0.6931,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,,,7,4,1,0.9415271324625232,0.1024630323635174,17382,True,True,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
gpqa_129,openclaw,both_wrong,False,2,PD|UN,PD,0.5,0.6931,0.0,0.5,0.0,0.0,0.5,0.0,0.0,,,,315,315,312,0.9864363221016562,0.0315024809251117,62536,True,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
gpqa_13,openclaw,both_correct,True,4,reason|PD|reason|IC,reason,0.5,1.0397,0.0,0.25,0.0,0.25,0.0,0.0,0.5,,0.3333,,0,0,0,0.0878378378378378,0.1358175430789809,1209,False,False,0.3333,,0.3333,,,,,,,,,,,,,,,,,,,,,,,
gpqa_130,openclaw,both_wrong,False,2,reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,1.0,,0,186,0,0.970252484555466,0.0405779192541762,17382,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_131,openclaw,regression,False,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,329,18,1,0.9616875793035388,0.0359357361012934,84104,True,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_132,openclaw,both_correct,True,10,PD|PD|reason|reason|reason|reason|reason|reason|PD|PD,reason,0.6,0.673,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.5556,0.1111,,2,6,0,0.132858837485172,0.1076837006662702,5417,False,False,,,0.1111,,,0.2222,,,,,,,,,,,,,,,,,,,,
gpqa_133,openclaw,both_correct,True,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0,5,0,0.0925714285714285,0.0,0,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_134,openclaw,both_wrong,False,2,reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,1.0,,2,4,0,0.977289558133794,0.0245604860715078,52330,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_135,openclaw,both_wrong,False,2,reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,1.0,,259,2,0,0.980135081446166,0.0313966461125399,85143,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_136,openclaw,regression,False,2,reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,1.0,,6,315,152,0.9586894094038682,0.0585462372582014,59643,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_137,openclaw,rescue,True,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1,18,0,0.1257035647279549,0.2569668850448994,5014,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_138,openclaw,both_correct,True,4,PD|PD|PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.1219110378912685,0.2762824463470985,5489,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_139,openclaw,regression,False,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0,4,0,0.9809941520467836,0.0329030993741842,52065,True,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_14,openclaw,both_correct,True,4,reason|PD|reason|IC,reason,0.5,1.0397,0.0,0.25,0.0,0.25,0.0,0.0,0.5,,0.3333,,0,0,0,0.0878378378378378,0.0,0,False,False,0.3333,,0.3333,,,,,,,,,,,,,,,,,,,,,,,
gpqa_140,openclaw,regression,False,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,357,538,0,0.9793083628700068,0.0284093677488198,79827,True,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_141,openclaw,both_correct,True,6,PD|PD|PD|PD|PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,2,4,1,0.1203319502074688,0.3213225498577078,4573,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_142,openclaw,both_correct,True,2,reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,1.0,,2,32,0,0.1166101694915254,0.3359328634008529,10329,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_143,openclaw,regression,False,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,351,1,0,0.987688404715714,0.0429994380782354,53483,True,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_144,openclaw,both_correct,True,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,2,6,0,0.0538302277432712,0.282814263493689,3634,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_145,openclaw,both_correct,True,2,reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,1.0,,0,6,0,0.0700729927007299,0.3706586279532826,5026,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_146,openclaw,both_correct,True,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,3,18,0,0.1724137931034483,0.2364041993760214,4008,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_147,openclaw,both_correct,True,6,IC|PD|reason|reason|IC|IC,IC,0.5,1.0114,0.0,0.1667,0.0,0.5,0.0,0.0,0.3333,0.2,,,0,0,0,0.1599229287090559,0.1480875318864538,4244,False,False,0.2,,0.2,,,,0.2,,,0.2,,,,,,,,,,,,,,,,
gpqa_148,openclaw,both_correct,True,4,PD|PD|reason|PD,PD,0.75,0.5623,0.0,0.75,0.0,0.0,0.0,0.0,0.25,,0.3333,,2,0,1,0.0943820224719101,0.2038387308474667,3396,False,False,,,0.3333,,,0.3333,,,,,,,,,,,,,,,,,,,,
gpqa_149,openclaw,both_wrong,False,4,reason|PD|reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,0.6667,,2,0,0,0.1017316017316017,0.1863423231861906,3795,False,False,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,
gpqa_15,openclaw,both_correct,True,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1,2,2,0.0564102564102564,0.375327060097909,1343,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_150,openclaw,both_correct,True,14,reason|RR|reason|reason|reason|reason|reason|UN|reason|reason|reason|reason|reason|PD,reason,0.7857142857142857,0.755,0.0,0.0714,0.0,0.0,0.0714,0.0714,0.7857,0.6154,0.0769,,6,7,1,0.1575037147102526,0.0643207393217776,5793,False,False,,,,0.0769,0.0769,,,,,,0.0769,0.0769,,,,,,,,,,,,,,
gpqa_151,openclaw,both_correct,True,4,PD|PD|reason|PD,PD,0.75,0.5623,0.0,0.75,0.0,0.0,0.0,0.0,0.25,,0.3333,,2,0,0,0.075208913649025,0.1908739946274325,2867,False,False,,,0.3333,,,0.3333,,,,,,,,,,,,,,,,,,,,
gpqa_152,openclaw,both_correct,True,4,reason|reason|reason|reason,reason,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,0,8,0,0.2111111111111111,0.1745796960334705,2755,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_153,openclaw,both_correct,True,2,reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,1.0,,0,2,0,0.1185840707964601,0.3574778949797195,2633,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_154,openclaw,both_correct,True,6,reason|PD|reason|reason|reason|RR,reason,0.6666666666666666,0.8676,0.0,0.1667,0.0,0.0,0.0,0.1667,0.6667,0.4,0.2,,2,5,0,0.0495689655172413,0.2188113682905435,1553,False,False,,,0.2,,,,,,,,0.2,,,,,,,,,,,,,,,
gpqa_155,openclaw,both_correct,True,4,PD|PD|reason|PD,PD,0.75,0.5623,0.0,0.75,0.0,0.0,0.0,0.0,0.25,,0.3333,,0,0,0,0.1497919556171983,0.2393664475520428,1739,False,False,,,0.3333,,,0.3333,,,,,,,,,,,,,,,,,,,,
gpqa_156,openclaw,both_correct,True,4,reason|PD|reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,0.6667,,1,0,0,0.0769230769230769,0.219376594263719,1237,False,False,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,
gpqa_157,openclaw,both_correct,True,6,reason|PD|reason|PD|PD|PD,PD,0.6666666666666666,0.6365,0.0,0.6667,0.0,0.0,0.0,0.0,0.3333,,0.4,,1,6,0,0.1200923787528868,0.2739558621913225,1012,False,False,,,0.2,,,0.4,,,,,,,,,,,,,,,,,,,,
gpqa_158,openclaw,both_correct,True,4,reason|reason|reason|IC,reason,0.75,0.5623,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.6667,,,1,3,0,0.0923623445825932,0.2566572117075992,2334,False,False,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_159,openclaw,both_correct,True,2,reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,1.0,,1,3,0,0.1321499013806706,0.1000199892968353,2165,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_16,openclaw,both_correct,True,2,reason|IC,reason,0.5,0.6931,0.0,0.0,0.0,0.5,0.0,0.0,0.5,,,,1,9,1,0.037109375,0.352377523785651,1260,False,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_160,openclaw,regression,False,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,0,0.9556998917478556,0.0101731203590696,68389,True,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_161,openclaw,both_correct,True,4,reason|PD|reason|IC,reason,0.5,1.0397,0.0,0.25,0.0,0.25,0.0,0.0,0.5,,0.3333,,1,5,0,0.0798722044728434,0.2794556137110305,1551,False,False,0.3333,,0.3333,,,,,,,,,,,,,,,,,,,,,,,
gpqa_162,openclaw,regression,False,2,reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,1.0,,191,193,1,0.94703276047261,0.028389973993731,38972,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_163,openclaw,both_correct,True,8,reason|PD|reason|reason|reason|reason|reason|PD,reason,0.75,0.5623,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.5714,0.2857,,3,0,0,0.1661538461538461,0.1651265921190318,906,False,False,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,
gpqa_164,openclaw,both_correct,True,4,reason|reason|reason|reason,reason,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,0,0,0,0.2741935483870967,0.1087728762842964,1415,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_165,openclaw,regression,False,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0,2,0,0.1133501259445843,0.0,0,True,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_166,openclaw,regression,False,2,reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,1.0,,2,0,0,0.1307420494699646,0.0,0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_167,openclaw,regression,False,6,PD|reason|reason|reason|reason|reason,reason,0.8333333333333334,0.4506,0.0,0.1667,0.0,0.0,0.0,0.0,0.8333,0.8,,,2,0,0,0.1304347826086956,0.1424039847201738,868,True,True,,,0.2,,,,,,,,,,,,,,,,,,,,,,,
gpqa_168,openclaw,both_correct,True,8,PD|PD|reason|RR|reason|reason|reason|PD,reason,0.5,0.9743,0.0,0.375,0.0,0.0,0.0,0.125,0.5,0.2857,0.1429,,1,0,0,0.1567460317460317,0.1171747424937498,1484,False,False,,,0.1429,,,0.1429,,,,,0.1429,0.1429,,,,,,,,,,,,,,
gpqa_169,openclaw,both_correct,True,2,PD|IC,PD,0.5,0.6931,0.0,0.5,0.0,0.5,0.0,0.0,0.0,,,1.0,0,1,0,0.1744749596122778,0.3788855937735867,892,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_17,openclaw,both_correct,True,6,reason|PD|reason|RR|reason|PD,reason,0.5,1.0114,0.0,0.3333,0.0,0.0,0.0,0.1667,0.5,,0.4,,2,9,0,0.0824295010845987,0.1625081724065001,1578,False,False,,,0.2,,,,,,,,0.2,0.2,,,,,,,,,,,,,,
gpqa_170,openclaw,both_correct,True,4,PD|PD|reason|PD,PD,0.75,0.5623,0.0,0.75,0.0,0.0,0.0,0.0,0.25,,0.3333,,1,0,0,0.197841726618705,0.1278377672364255,980,False,False,,,0.3333,,,0.3333,,,,,,,,,,,,,,,,,,,,
gpqa_171,openclaw,both_correct,True,6,reason|PD|reason|reason|reason|RR,reason,0.6666666666666666,0.8676,0.0,0.1667,0.0,0.0,0.0,0.1667,0.6667,0.4,0.2,,2,5,0,0.0495689655172413,0.0,0,False,False,,,0.2,,,,,,,,0.2,,,,,,,,,,,,,,,
gpqa_172,openclaw,regression,False,2,PD|IC,PD,0.5,0.6931,0.0,0.5,0.0,0.5,0.0,0.0,0.0,,,1.0,0,1,0,0.1744749596122778,0.1102392044772807,7542,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_173,openclaw,regression,False,4,PD|PD|reason|PD,PD,0.75,0.5623,0.0,0.75,0.0,0.0,0.0,0.0,0.25,,0.3333,,1,0,0,0.197841726618705,0.0841590140264,7808,True,False,,,0.3333,,,0.3333,,,,,,,,,,,,,,,,,,,,
gpqa_174,openclaw,both_correct,True,6,PD|PD|reason|reason|reason|PD,PD,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.4,0.2,,7,9,1,0.1168032786885246,0.1124018896118856,6670,False,False,,,0.2,,,0.2,,,,,,,,,,,,,,,,,,,,
gpqa_175,openclaw,both_correct,True,6,PD|SE|reason|reason|reason|PD,reason,0.5,1.0114,0.1667,0.3333,0.0,0.0,0.0,0.0,0.5,0.4,0.2,,2,3,0,0.192170818505338,0.047686392243662,5808,False,False,,,,,,,,,,,,,0.2,0.2,,,,,,,,,,,,
gpqa_176,openclaw,both_correct,True,2,reason|PD,reason,0.5,0.6931,0.0,0.5,0.0,0.0,0.0,0.0,0.5,,1.0,,2,0,0,0.0642201834862385,0.3563425983624981,1154,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
gpqa_177,openclaw,regression,False,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,0,0.1125541125541125,0.0,0,True,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_178,openclaw,both_correct,True,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1,3,0,0.2142011834319526,0.1714360946762902,2459,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_179,openclaw,both_correct,True,6,reason|RR|reason|reason|reason|reason,reason,0.8333333333333334,0.4506,0.0,0.0,0.0,0.0,0.0,0.1667,0.8333,0.6,,,0,1,0,0.0609480812641083,0.2394297879202122,1326,False,False,,,,,,,,,,,0.2,0.2,,,,,,,,,,,,,,
gpqa_18,openclaw,both_wrong,False,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,281,4,0,0.9774617971561744,0.0372142835227099,27044,True,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_180,openclaw,both_correct,True,4,PD|PD|reason|PD,PD,0.75,0.5623,0.0,0.75,0.0,0.0,0.0,0.0,0.25,,0.3333,,0,1,0,0.1839080459770115,0.1265123593014251,1176,False,False,,,0.3333,,,0.3333,,,,,,,,,,,,,,,,,,,,
gpqa_181,openclaw,both_correct,True,2,PD|PD,PD,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,0,0.2415458937198067,0.1366620410482047,1865,False,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
gpqa_182,openclaw,both_correct,True,8,reason|PD|reason|reason|reason|reason|reason|reason,reason,0.875,0.3768,0.0,0.125,0.0,0.0,0.0,0.0,0.875,0.7143,0.1429,,2,0,0,0.0698529411764705,0.1705294147275123,1926,False,False,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,
gpqa_183,openclaw,both_correct,True,6,reason|PD|reason|reason|reason|PD,reason,0.6666666666666666,0.6365,0.0,0.3333,0.0,0.0,0.0,0.0,0.6667,0.4,0.4,,2,0,0,0.2234273318872017,0.114190274422805,1590,False,False,,,0.2,,,,,,,,,,,,,,,,,,,,,,,
