harness,correct,type,motif,ngram,n,total_trajectories,rate_per_trajectory,correct_vs_wrong_delta,context,action,fraction,total_verify_events
openclaw,True,motif,tool_use->recover->recover,3,5,130,0.0385,-0.0086,,,,
openclaw,True,motif,tool_use->recover->tool_use,3,3,130,0.0231,-0.0231,,,,
openclaw,True,motif,tool_use->tool_use,2,17,130,0.1308,-0.1308,,,,
openclaw,True,motif,tool_use->tool_use->recover,3,2,130,0.0154,-0.0154,,,,
openclaw,True,motif,tool_use->tool_use->tool_use,3,13,130,0.1,-0.1,,,,
openclaw,True,motif,tool_use->tool_use->verify,3,2,130,0.0154,-0.0154,,,,
openclaw,False,motif,tool_use->verify,2,1,67,0.0149,-0.0389,,,,
openclaw,True,motif,tool_use->verify,2,7,130,0.0538,-0.0389,,,,
openclaw,True,motif,tool_use->verify->answer,3,3,130,0.0231,-0.0231,,,,
openclaw,False,motif,tool_use->verify->verify,3,1,67,0.0149,-0.0005,,,,
openclaw,True,motif,tool_use->verify->verify,3,2,130,0.0154,-0.0005,,,,
openclaw,True,motif,verify->answer,2,17,130,0.1308,-0.1308,,,,
openclaw,True,motif,verify->answer->reason,3,1,130,0.0077,-0.0077,,,,
openclaw,True,motif,verify->answer->tool_use,3,1,130,0.0077,-0.0077,,,,
openclaw,True,motif,verify->answer->verify,3,1,130,0.0077,-0.0077,,,,
openclaw,True,motif,verify->plan,2,1,130,0.0077,-0.0077,,,,
openclaw,False,motif,verify->reason,2,1,67,0.0149,-0.0236,,,,
openclaw,True,motif,verify->reason,2,5,130,0.0385,-0.0236,,,,
openclaw,False,motif,verify->recover,2,7,67,0.1045,-0.0493,,,,
openclaw,True,motif,verify->recover,2,20,130,0.1538,-0.0493,,,,
openclaw,True,motif,verify->recover->answer,3,11,130,0.0846,-0.0846,,,,
openclaw,False,motif,verify->recover->reason,3,1,67,0.0149,-0.0005,,,,
openclaw,True,motif,verify->recover->reason,3,2,130,0.0154,-0.0005,,,,
openclaw,False,motif,verify->recover->recover,3,5,67,0.0746,0.0438,,,,
openclaw,True,motif,verify->recover->recover,3,4,130,0.0308,0.0438,,,,
openclaw,True,motif,verify->recover->tool_use,3,2,130,0.0154,-0.0154,,,,
openclaw,True,motif,verify->recover->verify,3,1,130,0.0077,-0.0077,,,,
openclaw,False,motif,verify->tool_use,2,1,67,0.0149,-0.0159,,,,
openclaw,True,motif,verify->tool_use,2,4,130,0.0308,-0.0159,,,,
openclaw,False,motif,verify->tool_use->answer,3,1,67,0.0149,-0.0005,,,,
openclaw,True,motif,verify->tool_use->answer,3,2,130,0.0154,-0.0005,,,,
openclaw,True,motif,verify->tool_use->recover,3,1,130,0.0077,-0.0077,,,,
openclaw,True,motif,verify->tool_use->verify,3,1,130,0.0077,-0.0077,,,,
openclaw,False,motif,verify->verify,2,2,67,0.0299,-0.0547,,,,
openclaw,True,motif,verify->verify,2,11,130,0.0846,-0.0547,,,,
openclaw,True,motif,verify->verify->answer,3,2,130,0.0154,-0.0154,,,,
openclaw,True,motif,verify->verify->reason,3,1,130,0.0077,-0.0077,,,,
openclaw,True,motif,verify->verify->tool_use,3,1,130,0.0077,-0.0077,,,,
openclaw,True,motif,verify->verify->verify,3,4,130,0.0308,-0.0308,,,,
opencode,False,motif,answer->answer,2,9,52,0.1731,-0.2062,,,,
opencode,True,motif,answer->answer,2,55,145,0.3793,-0.2062,,,,
opencode,False,motif,answer->plan,2,2,52,0.0385,-0.0512,,,,
opencode,True,motif,answer->plan,2,13,145,0.0897,-0.0512,,,,
opencode,False,motif,answer->plan->answer,3,1,52,0.0192,0.0123,,,,
opencode,True,motif,answer->plan->answer,3,1,145,0.0069,0.0123,,,,
opencode,True,motif,answer->plan->plan,3,5,145,0.0345,-0.0345,,,,
opencode,True,motif,answer->plan->reason,3,1,145,0.0069,-0.0069,,,,
opencode,True,motif,answer->plan->tool_use,3,2,145,0.0138,-0.0138,,,,
opencode,False,motif,answer->plan->verify,3,1,52,0.0192,-0.0084,,,,
opencode,True,motif,answer->plan->verify,3,4,145,0.0276,-0.0084,,,,
opencode,,motif,answer->reason,2,1,1,1.0,0.061,,,,
opencode,False,motif,answer->reason,2,48,52,0.9231,0.061,,,,
opencode,True,motif,answer->reason,2,125,145,0.8621,0.061,,,,
opencode,False,motif,answer->reason->answer,3,7,52,0.1346,-0.0378,,,,
opencode,True,motif,answer->reason->answer,3,25,145,0.1724,-0.0378,,,,
opencode,False,motif,answer->reason->plan,3,12,52,0.2308,0.0239,,,,
opencode,True,motif,answer->reason->plan,3,30,145,0.2069,0.0239,,,,
opencode,,motif,answer->reason->reason,3,1,1,1.0,-0.0374,,,,
opencode,False,motif,answer->reason->reason,3,2,52,0.0385,-0.0374,,,,
opencode,True,motif,answer->reason->reason,3,11,145,0.0759,-0.0374,,,,
opencode,False,motif,answer->reason->tool_use,3,1,52,0.0192,0.0054,,,,
opencode,True,motif,answer->reason->tool_use,3,2,145,0.0138,0.0054,,,,
opencode,False,motif,answer->reason->verify,3,22,52,0.4231,0.03,,,,
opencode,True,motif,answer->reason->verify,3,57,145,0.3931,0.03,,,,
opencode,False,motif,answer->tool_use,2,2,52,0.0385,-0.0029,,,,
opencode,True,motif,answer->tool_use,2,6,145,0.0414,-0.0029,,,,
opencode,False,motif,answer->tool_use->answer,3,2,52,0.0385,0.0247,,,,
opencode,True,motif,answer->tool_use->answer,3,2,145,0.0138,0.0247,,,,
opencode,True,motif,answer->tool_use->reason,3,3,145,0.0207,-0.0207,,,,
opencode,True,motif,answer->tool_use->verify,3,1,145,0.0069,-0.0069,,,,
opencode,False,motif,answer->verify,2,2,52,0.0385,-0.0098,,,,
opencode,True,motif,answer->verify,2,7,145,0.0483,-0.0098,,,,
opencode,True,motif,answer->verify->answer,3,2,145,0.0138,-0.0138,,,,
opencode,False,motif,answer->verify->plan,3,1,52,0.0192,0.0123,,,,
opencode,True,motif,answer->verify->plan,3,1,145,0.0069,0.0123,,,,
opencode,True,motif,answer->verify->reason,3,1,145,0.0069,-0.0069,,,,
opencode,False,motif,answer->verify->verify,3,1,52,0.0192,-0.0015,,,,
opencode,True,motif,answer->verify->verify,3,3,145,0.0207,-0.0015,,,,
opencode,False,motif,plan->answer,2,1,52,0.0192,0.0123,,,,
opencode,True,motif,plan->answer,2,1,145,0.0069,0.0123,,,,
opencode,False,motif,plan->answer->answer,3,1,52,0.0192,0.0123,,,,
opencode,True,motif,plan->answer->answer,3,1,145,0.0069,0.0123,,,,
opencode,False,motif,plan->plan,2,6,52,0.1154,-0.0363,,,,
opencode,True,motif,plan->plan,2,22,145,0.1517,-0.0363,,,,
opencode,True,motif,plan->plan->tool_use,3,5,145,0.0345,-0.0345,,,,
opencode,True,motif,plan->reason,2,1,145,0.0069,-0.0069,,,,
opencode,True,motif,plan->reason->tool_use,3,1,145,0.0069,-0.0069,,,,
opencode,True,motif,plan->tool_use,2,22,145,0.1517,-0.1517,,,,
opencode,True,motif,plan->tool_use->answer,3,1,145,0.0069,-0.0069,,,,
opencode,True,motif,plan->tool_use->plan,3,1,145,0.0069,-0.0069,,,,
opencode,True,motif,plan->tool_use->reason,3,13,145,0.0897,-0.0897,,,,
opencode,True,motif,plan->tool_use->tool_use,3,1,145,0.0069,-0.0069,,,,
opencode,True,motif,plan->tool_use->verify,3,6,145,0.0414,-0.0414,,,,
opencode,False,motif,plan->verify,2,2,52,0.0385,0.0109,,,,
opencode,True,motif,plan->verify,2,4,145,0.0276,0.0109,,,,
opencode,True,motif,plan->verify->tool_use,3,3,145,0.0207,-0.0207,,,,
opencode,True,motif,plan->verify->verify,3,1,145,0.0069,-0.0069,,,,
opencode,False,motif,reason->answer,2,7,52,0.1346,-0.0447,,,,
opencode,True,motif,reason->answer,2,26,145,0.1793,-0.0447,,,,
opencode,False,motif,reason->answer->answer,3,6,52,0.1154,-0.0294,,,,
opencode,True,motif,reason->answer->answer,3,21,145,0.1448,-0.0294,,,,
opencode,True,motif,reason->answer->tool_use,3,4,145,0.0276,-0.0276,,,,
opencode,,motif,reason->plan,2,1,1,1.0,-0.0244,,,,
opencode,False,motif,reason->plan,2,12,52,0.2308,-0.0244,,,,
opencode,True,motif,reason->plan,2,37,145,0.2552,-0.0244,,,,
opencode,False,motif,reason->plan->plan,3,6,52,0.1154,0.012,,,,
opencode,True,motif,reason->plan->plan,3,15,145,0.1034,0.012,,,,
opencode,True,motif,reason->plan->tool_use,3,15,145,0.1034,-0.1034,,,,
opencode,,motif,reason->reason,2,1,1,1.0,-0.1132,,,,
opencode,False,motif,reason->reason,2,2,52,0.0385,-0.1132,,,,
opencode,True,motif,reason->reason,2,22,145,0.1517,-0.1132,,,,
opencode,,motif,reason->reason->plan,3,1,1,1.0,0.0,,,,
opencode,True,motif,reason->reason->reason,3,4,145,0.0276,-0.0276,,,,
opencode,False,motif,reason->reason->tool_use,3,1,52,0.0192,-0.0567,,,,
opencode,True,motif,reason->reason->tool_use,3,11,145,0.0759,-0.0567,,,,
opencode,False,motif,reason->tool_use,2,5,52,0.0962,-0.2348,,,,
opencode,True,motif,reason->tool_use,2,48,145,0.331,-0.2348,,,,
opencode,True,motif,reason->tool_use->answer,3,13,145,0.0897,-0.0897,,,,
opencode,False,motif,reason->tool_use->reason,3,3,52,0.0577,-0.0664,,,,
opencode,True,motif,reason->tool_use->reason,3,18,145,0.1241,-0.0664,,,,
opencode,True,motif,reason->tool_use->tool_use,3,1,145,0.0069,-0.0069,,,,
opencode,False,motif,reason->tool_use->verify,3,2,52,0.0385,-0.0718,,,,
opencode,True,motif,reason->tool_use->verify,3,16,145,0.1103,-0.0718,,,,
opencode,False,motif,reason->verify,2,24,52,0.4615,-0.0282,,,,
opencode,True,motif,reason->verify,2,71,145,0.4897,-0.0282,,,,
opencode,False,motif,reason->verify->tool_use,3,6,52,0.1154,-0.1467,,,,
opencode,True,motif,reason->verify->tool_use,3,38,145,0.2621,-0.1467,,,,
opencode,False,motif,reason->verify->verify,3,6,52,0.1154,-0.0156,,,,
opencode,True,motif,reason->verify->verify,3,19,145,0.131,-0.0156,,,,
opencode,False,motif,tool_use->answer,2,4,52,0.0769,-0.1507,,,,
opencode,True,motif,tool_use->answer,2,33,145,0.2276,-0.1507,,,,
opencode,False,motif,tool_use->answer->answer,3,2,52,0.0385,-0.1822,,,,
opencode,True,motif,tool_use->answer->answer,3,32,145,0.2207,-0.1822,,,,
opencode,False,motif,tool_use->answer->tool_use,3,2,52,0.0385,0.0316,,,,
opencode,True,motif,tool_use->answer->tool_use,3,1,145,0.0069,0.0316,,,,
opencode,False,motif,tool_use->plan,2,1,52,0.0192,0.0123,,,,
opencode,True,motif,tool_use->plan,2,1,145,0.0069,0.0123,,,,
opencode,True,motif,tool_use->plan->plan,3,1,145,0.0069,-0.0069,,,,
opencode,False,motif,tool_use->plan->verify,3,1,52,0.0192,0.0192,,,,
opencode,False,motif,tool_use->reason,2,6,52,0.1154,-0.3053,,,,
opencode,True,motif,tool_use->reason,2,61,145,0.4207,-0.3053,,,,
opencode,True,motif,tool_use->reason->answer,3,1,145,0.0069,-0.0069,,,,
opencode,True,motif,tool_use->reason->plan,3,7,145,0.0483,-0.0483,,,,
opencode,True,motif,tool_use->reason->reason,3,6,145,0.0414,-0.0414,,,,
opencode,False,motif,tool_use->reason->tool_use,3,3,52,0.0577,-0.1699,,,,
opencode,True,motif,tool_use->reason->tool_use,3,33,145,0.2276,-0.1699,,,,
opencode,False,motif,tool_use->reason->verify,3,2,52,0.0385,-0.0581,,,,
opencode,True,motif,tool_use->reason->verify,3,14,145,0.0966,-0.0581,,,,
opencode,False,motif,tool_use->tool_use,2,1,52,0.0192,-0.0015,,,,
opencode,True,motif,tool_use->tool_use,2,3,145,0.0207,-0.0015,,,,
opencode,False,motif,tool_use->tool_use->plan,3,1,52,0.0192,0.0192,,,,
opencode,True,motif,tool_use->tool_use->reason,3,2,145,0.0138,-0.0138,,,,
opencode,True,motif,tool_use->tool_use->verify,3,1,145,0.0069,-0.0069,,,,
opencode,False,motif,tool_use->verify,2,5,52,0.0962,-0.1797,,,,
opencode,True,motif,tool_use->verify,2,40,145,0.2759,-0.1797,,,,
opencode,True,motif,tool_use->verify->reason,3,1,145,0.0069,-0.0069,,,,
opencode,False,motif,tool_use->verify->tool_use,3,3,52,0.0577,-0.0457,,,,
opencode,True,motif,tool_use->verify->tool_use,3,15,145,0.1034,-0.0457,,,,
opencode,True,motif,tool_use->verify->verify,3,24,145,0.1655,-0.1655,,,,
opencode,True,motif,verify->answer,2,2,145,0.0138,-0.0138,,,,
opencode,True,motif,verify->answer->answer,3,1,145,0.0069,-0.0069,,,,
opencode,True,motif,verify->answer->tool_use,3,1,145,0.0069,-0.0069,,,,
opencode,False,motif,verify->plan,2,1,52,0.0192,0.0123,,,,
opencode,True,motif,verify->plan,2,1,145,0.0069,0.0123,,,,
opencode,True,motif,verify->plan->plan,3,1,145,0.0069,-0.0069,,,,
opencode,True,motif,verify->reason,2,2,145,0.0138,-0.0138,,,,
opencode,True,motif,verify->reason->reason,3,1,145,0.0069,-0.0069,,,,
opencode,True,motif,verify->reason->tool_use,3,1,145,0.0069,-0.0069,,,,
opencode,False,motif,verify->tool_use,2,9,52,0.1731,-0.2338,,,,
opencode,True,motif,verify->tool_use,2,59,145,0.4069,-0.2338,,,,
opencode,False,motif,verify->tool_use->answer,3,2,52,0.0385,-0.0787,,,,
opencode,True,motif,verify->tool_use->answer,3,17,145,0.1172,-0.0787,,,,
opencode,False,motif,verify->tool_use->reason,3,3,52,0.0577,-0.1147,,,,
opencode,True,motif,verify->tool_use->reason,3,25,145,0.1724,-0.1147,,,,
opencode,False,motif,verify->tool_use->tool_use,3,1,52,0.0192,0.0123,,,,
opencode,True,motif,verify->tool_use->tool_use,3,1,145,0.0069,0.0123,,,,
opencode,False,motif,verify->tool_use->verify,3,3,52,0.0577,-0.0526,,,,
opencode,True,motif,verify->tool_use->verify,3,16,145,0.1103,-0.0526,,,,
opencode,False,motif,verify->verify,2,8,52,0.1538,-0.1772,,,,
opencode,True,motif,verify->verify,2,48,145,0.331,-0.1772,,,,
opencode,True,motif,verify->verify->tool_use,3,3,145,0.0207,-0.0207,,,,
opencode,False,motif,verify->verify->verify,3,1,52,0.0192,0.0123,,,,
opencode,True,motif,verify->verify->verify,3,1,145,0.0069,0.0123,,,,
zeroclaw,,motif,answer->plan,2,1,15,0.0667,-0.0486,,,,
zeroclaw,False,motif,answer->plan,2,2,34,0.0588,-0.0486,,,,
zeroclaw,True,motif,answer->plan,2,16,149,0.1074,-0.0486,,,,
zeroclaw,True,motif,answer->plan->plan,3,11,149,0.0738,-0.0738,,,,
zeroclaw,False,motif,answer->plan->reason,3,2,34,0.0588,0.0387,,,,
zeroclaw,True,motif,answer->plan->reason,3,3,149,0.0201,0.0387,,,,
zeroclaw,,motif,answer->reason,2,14,15,0.9333,0.0176,,,,
zeroclaw,False,motif,answer->reason,2,33,34,0.9706,0.0176,,,,
zeroclaw,True,motif,answer->reason,2,142,149,0.953,0.0176,,,,
zeroclaw,True,motif,answer->reason->answer,3,1,149,0.0067,-0.0067,,,,
zeroclaw,False,motif,answer->reason->plan,3,17,34,0.5,-0.1174,,,,
zeroclaw,True,motif,answer->reason->plan,3,92,149,0.6174,-0.1174,,,,
zeroclaw,False,motif,answer->reason->reason,3,16,34,0.4706,0.1552,,,,
zeroclaw,True,motif,answer->reason->reason,3,47,149,0.3154,0.1552,,,,
zeroclaw,False,motif,answer->verify,2,1,34,0.0294,-0.031,,,,
zeroclaw,True,motif,answer->verify,2,9,149,0.0604,-0.031,,,,
zeroclaw,True,motif,answer->verify->plan,3,5,149,0.0336,-0.0336,,,,
zeroclaw,False,motif,answer->verify->reason,3,1,34,0.0294,0.0093,,,,
zeroclaw,True,motif,answer->verify->reason,3,3,149,0.0201,0.0093,,,,
zeroclaw,True,motif,plan->answer,2,2,149,0.0134,-0.0134,,,,
zeroclaw,False,motif,plan->plan,2,4,34,0.1176,-0.0837,,,,
zeroclaw,True,motif,plan->plan,2,30,149,0.2013,-0.0837,,,,
zeroclaw,True,motif,plan->plan->plan,3,6,149,0.0403,-0.0403,,,,
zeroclaw,False,motif,plan->plan->reason,3,3,34,0.0882,-0.0527,,,,
zeroclaw,True,motif,plan->plan->reason,3,21,149,0.1409,-0.0527,,,,
zeroclaw,False,motif,plan->reason,2,41,34,1.2059,-0.0223,,,,
zeroclaw,True,motif,plan->reason,2,183,149,1.2282,-0.0223,,,,
zeroclaw,True,motif,plan->reason->answer,3,1,149,0.0067,-0.0067,,,,
zeroclaw,False,motif,plan->reason->plan,3,6,34,0.1765,0.0825,,,,
zeroclaw,True,motif,plan->reason->plan,3,14,149,0.094,0.0825,,,,
zeroclaw,False,motif,plan->reason->reason,3,35,34,1.0294,-0.031,,,,
zeroclaw,True,motif,plan->reason->reason,3,158,149,1.0604,-0.031,,,,
zeroclaw,True,motif,plan->reason->verify,3,9,149,0.0604,-0.0604,,,,
zeroclaw,False,motif,plan->verify,2,1,34,0.0294,0.0026,,,,
zeroclaw,True,motif,plan->verify,2,4,149,0.0268,0.0026,,,,
zeroclaw,True,motif,plan->verify->plan,3,1,149,0.0067,-0.0067,,,,
zeroclaw,True,motif,plan->verify->reason,3,2,149,0.0134,-0.0134,,,,
zeroclaw,False,motif,reason->answer,2,6,34,0.1765,-0.2396,,,,
zeroclaw,True,motif,reason->answer,2,62,149,0.4161,-0.2396,,,,
zeroclaw,True,motif,reason->answer->plan,3,4,149,0.0268,-0.0268,,,,
zeroclaw,False,motif,reason->answer->reason,3,2,34,0.0588,-0.0217,,,,
zeroclaw,True,motif,reason->answer->reason,3,12,149,0.0805,-0.0217,,,,
zeroclaw,False,motif,reason->plan,2,49,34,1.4412,0.2331,,,,
zeroclaw,True,motif,reason->plan,2,180,149,1.2081,0.2331,,,,
zeroclaw,True,motif,reason->plan->answer,3,2,149,0.0134,-0.0134,,,,
zeroclaw,False,motif,reason->plan->plan,3,4,34,0.1176,0.0304,,,,
zeroclaw,True,motif,reason->plan->plan,3,13,149,0.0872,0.0304,,,,
zeroclaw,False,motif,reason->plan->reason,3,36,34,1.0588,0.032,,,,
zeroclaw,True,motif,reason->plan->reason,3,153,149,1.0268,0.032,,,,
zeroclaw,False,motif,reason->plan->verify,3,1,34,0.0294,0.0227,,,,
zeroclaw,True,motif,reason->plan->verify,3,1,149,0.0067,0.0227,,,,
zeroclaw,False,motif,reason->reason,2,370,34,10.8824,-0.5471,,,,
zeroclaw,True,motif,reason->reason,2,1703,149,11.4295,-0.5471,,,,
zeroclaw,False,motif,reason->reason->answer,3,5,34,0.1471,-0.2086,,,,
zeroclaw,True,motif,reason->reason->answer,3,53,149,0.3557,-0.2086,,,,
zeroclaw,False,motif,reason->reason->plan,3,24,34,0.7059,0.2428,,,,
zeroclaw,True,motif,reason->reason->plan,3,69,149,0.4631,0.2428,,,,
zeroclaw,False,motif,reason->reason->reason,3,307,34,9.0294,-0.7424,,,,
zeroclaw,True,motif,reason->reason->reason,3,1456,149,9.7718,-0.7424,,,,
zeroclaw,False,motif,reason->reason->verify,3,28,34,0.8235,0.1859,,,,
zeroclaw,True,motif,reason->reason->verify,3,95,149,0.6376,0.1859,,,,
zeroclaw,False,motif,reason->verify,2,30,34,0.8824,0.124,,,,
zeroclaw,True,motif,reason->verify,2,113,149,0.7584,0.124,,,,
zeroclaw,True,motif,reason->verify->answer,3,4,149,0.0268,-0.0268,,,,
zeroclaw,True,motif,reason->verify->plan,3,4,149,0.0268,-0.0268,,,,
zeroclaw,False,motif,reason->verify->reason,3,16,34,0.4706,0.088,,,,
zeroclaw,True,motif,reason->verify->reason,3,57,149,0.3826,0.088,,,,
zeroclaw,False,motif,reason->verify->verify,3,1,34,0.0294,-0.0176,,,,
zeroclaw,True,motif,reason->verify->verify,3,7,149,0.047,-0.0176,,,,
zeroclaw,True,motif,verify->answer,2,4,149,0.0268,-0.0268,,,,
zeroclaw,True,motif,verify->answer->reason,3,1,149,0.0067,-0.0067,,,,
zeroclaw,True,motif,verify->answer->verify,3,1,149,0.0067,-0.0067,,,,
zeroclaw,True,motif,verify->plan,2,10,149,0.0671,-0.0671,,,,
zeroclaw,True,motif,verify->plan->reason,3,6,149,0.0403,-0.0403,,,,
zeroclaw,True,motif,verify->plan->verify,3,3,149,0.0201,-0.0201,,,,
zeroclaw,False,motif,verify->reason,2,18,34,0.5294,0.0932,,,,
zeroclaw,True,motif,verify->reason,2,65,149,0.4362,0.0932,,,,
zeroclaw,False,motif,verify->reason->answer,3,1,34,0.0294,-0.0176,,,,
zeroclaw,True,motif,verify->reason->answer,3,7,149,0.047,-0.0176,,,,
zeroclaw,False,motif,verify->reason->plan,3,2,34,0.0588,0.0252,,,,
zeroclaw,True,motif,verify->reason->plan,3,5,149,0.0336,0.0252,,,,
zeroclaw,False,motif,verify->reason->reason,3,12,34,0.3529,0.071,,,,
zeroclaw,True,motif,verify->reason->reason,3,42,149,0.2819,0.071,,,,
zeroclaw,False,motif,verify->reason->verify,3,2,34,0.0588,-0.0016,,,,
zeroclaw,True,motif,verify->reason->verify,3,9,149,0.0604,-0.0016,,,,
zeroclaw,False,motif,verify->verify,2,2,34,0.0588,0.0118,,,,
zeroclaw,True,motif,verify->verify,2,7,149,0.047,0.0118,,,,
zeroclaw,False,motif,verify->verify->reason,3,1,34,0.0294,0.0093,,,,
zeroclaw,True,motif,verify->verify->reason,3,3,149,0.0201,0.0093,,,,
zeroclaw,False,motif,verify->verify->verify,3,1,34,0.0294,0.0294,,,,
openclaw,False,verify_context,,,1,,,,pre_verify,__START__,0.0238,42
openclaw,False,verify_context,,,30,,,,pre_verify,answer,0.7143,42
openclaw,False,verify_context,,,1,,,,pre_verify,plan,0.0238,42
openclaw,False,verify_context,,,6,,,,pre_verify,reason,0.1429,42
