task_id,harness,benchmark,n_segments,arm_sequence,dominant_mode,dominant_rate,arm_entropy,rate_SE,rate_PD,rate_IC,rate_UN,rate_RR,rate_reason
hle_1070,directllm,HLE,36,reason|RR|RR|reason|UN|reason|RR|RR|RR|PD|RR|reason|PD|RR|PD|RR|RR|RR|UN|reason|reason|reason|RR|RR|RR|RR|IC|RR|RR|RR|PD|reason|reason|reason|reason|reason,RR,0.4722,1.2248,0.0,0.1111,0.0278,0.0556,0.4722,0.3333
hle_1071,directllm,HLE,32,reason|RR|RR|RR|UN|reason|UN|UN|PD|IC|UN|reason|IC|RR|reason|reason|reason|IC|reason|RR|reason|IC|IC|reason|RR|UN|reason|IC|reason|PD|reason|reason,reason,0.4062,1.457,0.0,0.0625,0.1875,0.1562,0.1875,0.4062
hle_1073,directllm,HLE,4,reason|reason|RR|RR,reason,0.5,0.6931,0.0,0.0,0.0,0.0,0.5,0.5
hle_1074,directllm,HLE,11,reason|RR|RR|IC|IC|RR|reason|reason|PD|PD|PD,reason,0.2727,1.373,0.0,0.2727,0.1818,0.0,0.2727,0.2727
hle_1077,directllm,HLE,35,reason|reason|reason|RR|RR|IC|RR|UN|UN|UN|reason|UN|reason|RR|IC|UN|RR|UN|reason|reason|reason|reason|UN|UN|UN|UN|UN|IC|UN|IC|reason|reason|IC|IC|reason,reason,0.3429,1.3143,0.0,0.0,0.1714,0.3429,0.1429,0.3429
hle_1079,directllm,HLE,4,reason|UN|UN|RR,UN,0.5,1.0397,0.0,0.0,0.0,0.5,0.25,0.25
hle_108,directllm,HLE,42,PD|PD|reason|reason|RR|RR|reason|RR|PD|PD|reason|reason|reason|reason|RR|PD|PD|RR|reason|reason|reason|reason|PD|reason|reason|RR|RR|RR|PD|reason|IC|PD|reason|reason|PD|RR|reason|reason|PD|PD|reason|reason,reason,0.4762,1.1303,0.0,0.2857,0.0238,0.0,0.2143,0.4762
hle_1080,directllm,HLE,47,reason|reason|reason|reason|reason|reason|reason|RR|UN|reason|reason|reason|reason|RR|RR|RR|UN|UN|reason|SE|reason|PD|UN|reason|RR|SE|UN|reason|reason|reason|reason|reason|UN|RR|UN|SE|RR|UN|reason|reason|SE|reason|reason|reason|SE|SE|PD,reason,0.5106,1.3253,0.1277,0.0426,0.0,0.1702,0.1489,0.5106
hle_1081,directllm,HLE,163,reason|reason|IC|reason|reason|reason|reason|UN|reason|reason|reason|reason|reason|reason|reason|reason|reason|RR|reason|reason|PD|reason|UN|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|RR|reason|reason|reason|reason|reason|reason|reason|UN|reason|reason|RR|reason|UN|UN|reason|reason|reason|reason|IC|reason|UN|reason|reason|reason|UN|reason|reason|IC|UN|UN|PD|UN|UN|PD|reason|reason|UN|reason|reason|reason|UN|reason|reason|reason|UN|RR|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|UN|UN|reason|UN|reason|reason|UN|UN|reason|UN|reason|UN|UN|reason|PD|reason|reason|reason|IC|UN|UN|UN|UN|reason|reason|UN|UN|reason|IC|reason|reason|reason|reason|UN|reason|reason|reason|UN|RR|reason|reason|reason|reason|UN|RR|reason|UN|reason|PD|reason|reason|UN|RR|reason|reason|UN|reason|reason|reason|reason|reason|reason|reason|PD|reason|UN|reason,reason,0.6748,0.9593,0.0,0.0368,0.0307,0.2147,0.0429,0.6748
hle_1083,directllm,HLE,2,UN|RR,UN,0.5,0.6931,0.0,0.0,0.0,0.5,0.5,0.0
hle_1084,directllm,HLE,33,reason|reason|RR|IC|PD|IC|RR|IC|PD|RR|UN|RR|reason|UN|IC|RR|reason|reason|RR|reason|PD|RR|IC|RR|reason|reason|RR|RR|RR|IC|reason|reason|PD,RR,0.3333,1.4636,0.0,0.1212,0.1818,0.0606,0.3333,0.303
hle_1088,directllm,HLE,663,reason|RR|RR|UN|reason|reason|reason|reason|reason|reason|reason|reason|UN|reason|reason|reason|RR|UN|reason|reason|UN|reason|reason|reason|reason|reason|reason|reason|RR|UN|RR|RR|reason|reason|reason|UN|RR|reason|RR|reason|reason|reason|reason|UN|reason|UN|UN|reason|reason|reason|reason|IC|reason|reason|reason|reason|PD|RR|reason|UN|UN|reason|reason|UN|reason|reason|reason|reason|reason|reason|RR|RR|UN|UN|reason|reason|reason|reason|reason|reason|reason|IC|reason|reason|reason|reason|RR|RR|reason|reason|reason|RR|UN|reason|reason|reason|UN|reason|reason|reason|reason|reason|RR|reason|reason|reason|reason|reason|reason|reason|RR|reason|reason|RR|RR|reason|reason|reason|reason|reason|reason|reason|RR|reason|reason|reason|UN|RR|reason|reason|reason|reason|reason|UN|reason|RR|RR|IC|RR|IC|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR,RR,0.8235,0.5754,0.0,0.0015,0.006,0.0271,0.8235,0.1418
hle_1089,directllm,HLE,19,reason|reason|UN|RR|RR|reason|IC|RR|RR|UN|IC|RR|reason|RR|RR|RR|reason|reason|reason,RR,0.4211,1.206,0.0,0.0,0.1053,0.1053,0.4211,0.3684
hle_109,directllm,HLE,24,reason|reason|reason|UN|reason|reason|reason|reason|PD|reason|reason|RR|PD|reason|reason|RR|IC|reason|RR|reason|reason|reason|reason|PD,reason,0.6667,1.055,0.0,0.125,0.0417,0.0417,0.125,0.6667
hle_1098,directllm,HLE,17,reason|reason|reason|reason|RR|RR|UN|RR|reason|UN|RR|reason|PD|PD|reason|reason|reason,reason,0.5294,1.1807,0.0,0.1176,0.0,0.1176,0.2353,0.5294
hle_11,directllm,HLE,22,reason|reason|reason|IC|reason|reason|IC|reason|PD|RR|RR|IC|IC|RR|reason|IC|IC|reason|PD|reason|PD|PD,reason,0.4091,1.3017,0.0,0.1818,0.2727,0.0,0.1364,0.4091
hle_1108,directllm,HLE,31,reason|reason|reason|RR|RR|PD|PD|PD|PD|RR|RR|PD|reason|reason|reason|reason|RR|RR|PD|IC|RR|reason|UN|UN|RR|RR|UN|reason|reason|PD|PD,reason,0.3226,1.4104,0.0,0.2581,0.0323,0.0968,0.2903,0.3226
hle_1109,directllm,HLE,23,reason|reason|RR|RR|reason|reason|reason|reason|RR|RR|PD|reason|PD|reason|PD|RR|RR|UN|UN|reason|reason|reason|SE,reason,0.4783,1.3177,0.0435,0.1304,0.0,0.087,0.2609,0.4783
hle_111,directllm,HLE,30,reason|RR|RR|RR|UN|RR|RR|RR|reason|RR|reason|UN|reason|UN|reason|RR|RR|reason|reason|reason|RR|IC|reason|IC|PD|reason|PD|reason|reason|PD,reason,0.4,1.3738,0.0,0.1,0.0667,0.1,0.3333,0.4
hle_1116,directllm,HLE,11,reason|reason|RR|reason|RR|PD|RR|reason|reason|PD|PD,reason,0.4545,1.0671,0.0,0.2727,0.0,0.0,0.2727,0.4545
hle_1119,directllm,HLE,143,reason|RR|RR|RR|reason|RR|PD|reason|RR|RR|reason|RR|reason|RR|UN|RR|reason|RR|RR|reason|IC|RR|RR|RR|UN|reason|IC|PD|RR|RR|IC|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR,RR,0.8951,0.461,0.0,0.014,0.021,0.014,0.8951,0.0559
hle_112,directllm,HLE,49,reason|reason|reason|reason|PD|reason|RR|reason|UN|reason|reason|RR|UN|RR|RR|IC|IC|reason|reason|reason|reason|reason|reason|reason|UN|UN|RR|reason|RR|IC|IC|reason|PD|RR|reason|reason|reason|RR|RR|IC|reason|PD|reason|PD|reason|PD|PD|PD|reason,reason,0.4898,1.3763,0.0,0.1429,0.102,0.0816,0.1837,0.4898
hle_1120,directllm,HLE,24,reason|reason|UN|UN|reason|PD|UN|reason|UN|reason|UN|reason|reason|UN|UN|UN|UN|UN|UN|UN|reason|reason|UN|RR,UN,0.5417,0.9647,0.0,0.0417,0.0,0.5417,0.0417,0.375
hle_1126,directllm,HLE,41,reason|RR|reason|UN|PD|PD|reason|IC|RR|RR|reason|RR|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|IC|PD|RR|PD|IC|reason|RR|reason|PD|reason|reason|reason|reason|PD|reason|reason|reason|reason,reason,0.6098,1.146,0.0,0.1463,0.0732,0.0244,0.1463,0.6098
hle_1127,directllm,HLE,46,reason|reason|PD|reason|reason|PD|IC|reason|reason|reason|reason|PD|reason|reason|reason|reason|reason|reason|reason|RR|RR|reason|reason|RR|reason|reason|reason|reason|IC|RR|reason|reason|reason|reason|reason|reason|RR|reason|RR|reason|reason|reason|reason|reason|PD|reason,reason,0.7391,0.8378,0.0,0.087,0.0435,0.0,0.1304,0.7391
hle_1128,directllm,HLE,58,reason|reason|reason|PD|reason|PD|PD|reason|reason|reason|PD|reason|PD|PD|reason|reason|reason|PD|reason|PD|reason|reason|reason|PD|RR|reason|reason|RR|reason|reason|reason|reason|PD|reason|PD|reason|reason|RR|reason|PD|reason|reason|reason|PD|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|PD|reason|reason|reason,reason,0.7069,0.7415,0.0,0.2414,0.0,0.0,0.0517,0.7069
hle_1129,directllm,HLE,43,PD|reason|IC|IC|reason|PD|reason|PD|reason|UN|PD|reason|PD|reason|RR|UN|reason|reason|PD|RR|reason|PD|IC|reason|RR|reason|UN|reason|UN|PD|IC|reason|RR|RR|reason|RR|reason|reason|PD|reason|reason|reason|PD,reason,0.4419,1.4168,0.0,0.2326,0.093,0.093,0.1395,0.4419
hle_1130,directllm,HLE,41,PD|reason|IC|RR|reason|RR|reason|RR|reason|reason|reason|reason|PD|reason|reason|reason|reason|reason|IC|PD|reason|reason|RR|reason|PD|RR|reason|RR|PD|reason|RR|reason|IC|reason|PD|reason|reason|reason|PD|reason|reason,reason,0.5854,1.1084,0.0,0.1707,0.0732,0.0,0.1707,0.5854
hle_1133,directllm,HLE,15,reason|RR|RR|reason|RR|UN|reason|RR|RR|RR|RR|RR|RR|RR|reason,RR,0.6667,0.8033,0.0,0.0,0.0,0.0667,0.6667,0.2667
hle_1135,directllm,HLE,22,reason|reason|reason|reason|UN|UN|UN|reason|UN|IC|reason|reason|UN|reason|reason|IC|UN|UN|reason|PD|reason|PD,reason,0.5,1.1469,0.0,0.0909,0.0909,0.3182,0.0,0.5
hle_1137,directllm,HLE,7,reason|RR|reason|PD|UN|reason|reason,reason,0.5714,1.1537,0.0,0.1429,0.0,0.1429,0.1429,0.5714
hle_1138,directllm,HLE,27,PD|PD|PD|UN|UN|PD|UN|PD|PD|RR|UN|reason|PD|UN|PD|UN|reason|UN|RR|IC|UN|reason|reason|PD|reason|PD|reason,PD,0.3704,1.3774,0.0,0.3704,0.037,0.2963,0.0741,0.2222
hle_1139,directllm,HLE,77,PD|reason|reason|reason|RR|reason|reason|PD|PD|UN|UN|reason|reason|UN|UN|UN|PD|UN|reason|PD|UN|reason|UN|UN|PD|UN|PD|reason|RR|RR|reason|PD|PD|reason|UN|RR|IC|RR|UN|UN|reason|UN|UN|UN|UN|UN|UN|reason|UN|PD|PD|UN|IC|UN|UN|PD|PD|reason|reason|PD|PD|PD|UN|UN|reason|PD|UN|UN|UN|reason|UN|reason|reason|reason|reason|UN|PD,UN,0.3896,1.3373,0.0,0.2338,0.026,0.3896,0.0649,0.2857
hle_114,directllm,HLE,60,reason|IC|reason|reason|PD|RR|RR|reason|reason|reason|reason|PD|RR|PD|reason|PD|reason|reason|reason|PD|PD|reason|reason|reason|reason|RR|PD|reason|PD|IC|PD|reason|PD|PD|IC|RR|reason|reason|reason|reason|RR|RR|PD|reason|reason|reason|reason|RR|reason|IC|reason|RR|reason|reason|reason|RR|reason|PD|reason|reason,reason,0.55,1.1393,0.0,0.2167,0.0667,0.0,0.1667,0.55
hle_115,directllm,HLE,14,IC|reason|PD|UN|RR|reason|reason|RR|RR|IC|IC|reason|PD|PD,reason,0.2857,1.5367,0.0,0.2143,0.2143,0.0714,0.2143,0.2857
hle_1150,directllm,HLE,19,reason|reason|UN|RR|RR|RR|RR|RR|UN|RR|RR|RR|IC|RR|RR|reason|RR|PD|reason,RR,0.5789,1.1914,0.0,0.0526,0.0526,0.1053,0.5789,0.2105
hle_1153,directllm,HLE,53,reason|RR|UN|SE|PD|PD|PD|UN|UN|reason|UN|UN|reason|reason|RR|reason|reason|reason|PD|RR|reason|IC|IC|reason|reason|IC|reason|reason|RR|UN|reason|reason|reason|RR|RR|PD|reason|RR|RR|reason|reason|RR|reason|reason|reason|IC|UN|PD|reason|PD|IC|reason|reason,reason,0.4528,1.4922,0.0189,0.1321,0.0943,0.1321,0.1698,0.4528
hle_1159,directllm,HLE,22,reason|PD|UN|IC|RR|reason|reason|UN|UN|RR|PD|IC|IC|RR|reason|reason|RR|IC|IC|reason|PD|PD,reason,0.2727,1.5827,0.0,0.1818,0.2273,0.1364,0.1818,0.2727
hle_1166,directllm,HLE,24,reason|reason|RR|RR|reason|reason|PD|reason|reason|reason|reason|reason|RR|PD|reason|UN|IC|reason|RR|reason|reason|reason|PD|reason,reason,0.625,1.1171,0.0,0.125,0.0417,0.0417,0.1667,0.625
hle_117,directllm,HLE,5,PD|reason|RR|UN|PD,PD,0.4,1.3322,0.0,0.4,0.0,0.2,0.2,0.2
hle_1174,directllm,HLE,46,reason|RR|reason|reason|RR|reason|reason|RR|RR|UN|reason|reason|reason|PD|IC|PD|PD|reason|RR|IC|reason|PD|RR|reason|reason|reason|reason|RR|reason|RR|RR|UN|PD|RR|PD|reason|reason|reason|reason|reason|PD|reason|reason|reason|reason|PD,reason,0.5217,1.248,0.0,0.1739,0.0435,0.0435,0.2174,0.5217
hle_1177,directllm,HLE,81,reason|reason|reason|IC|reason|reason|reason|reason|reason|reason|RR|reason|reason|UN|reason|PD|reason|reason|reason|reason|UN|reason|UN|RR|reason|reason|reason|PD|reason|reason|RR|reason|RR|reason|reason|reason|reason|reason|reason|RR|RR|PD|reason|reason|reason|PD|IC|IC|IC|reason|reason|reason|UN|UN|reason|reason|UN|UN|reason|reason|RR|reason|reason|reason|RR|RR|reason|reason|reason|reason|RR|UN|UN|reason|RR|reason|PD|reason|reason|reason|reason,reason,0.642,1.1203,0.0,0.0617,0.0494,0.1111,0.1358,0.642
hle_1179,directllm,HLE,46,reason|reason|reason|reason|RR|reason|IC|reason|reason|PD|RR|reason|reason|RR|reason|PD|RR|PD|reason|reason|RR|reason|reason|RR|reason|reason|reason|RR|reason|IC|reason|RR|PD|RR|RR|RR|reason|reason|IC|IC|RR|RR|PD|reason|UN|reason,reason,0.5,1.2405,0.0,0.1087,0.087,0.0217,0.2826,0.5
hle_118,directllm,HLE,13,reason|reason|reason|IC|reason|reason|reason|IC|reason|IC|reason|reason|PD,reason,0.6923,0.7903,0.0,0.0769,0.2308,0.0,0.0,0.6923
hle_1182,directllm,HLE,31,reason|reason|reason|reason|PD|reason|UN|reason|RR|reason|reason|PD|reason|RR|reason|reason|PD|UN|reason|reason|RR|reason|IC|RR|RR|UN|reason|RR|reason|reason|PD,reason,0.5484,1.2483,0.0,0.129,0.0323,0.0968,0.1935,0.5484
